CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,BLOCKI/O,PIDS_JULIA,PIDS_DOCKER,TIMESTAMP
b8494446c831,objective_feynman,100.02%,197.4MiB/1.907GiB,10.11%,5.93MB/71.5kB,146,0B/0B,0,10:30:58
c68e19af9ce5,heuristic_beaver,100.09%,189.7MiB/1.907GiB,9.71%,5.93MB/65.9kB,147,0B/0B,0,10:30:58
b8494446c831,objective_feynman,66.96%,202.7MiB/1.907GiB,10.38%,8.95MB/109kB,146,0B/0B,0,10:31:08
c68e19af9ce5,heuristic_beaver,60.48%,199.8MiB/1.907GiB,10.23%,9.11MB/111kB,147,0B/0B,0,10:31:08
b8494446c831,objective_feynman,99.65%,218MiB/1.907GiB,11.16%,9.11MB/116kB,146,0B/0B,0,10:31:17
c68e19af9ce5,heuristic_beaver,100.06%,210.8MiB/1.907GiB,10.79%,9.11MB/112kB,147,0B/0B,0,10:31:17
b8494446c831,objective_feynman,100.13%,241.7MiB/1.907GiB,12.37%,9.11MB/119kB,146,0B/0B,0,10:31:26
c68e19af9ce5,heuristic_beaver,99.30%,235.7MiB/1.907GiB,12.07%,9.11MB/116kB,147,0B/73.7kB,0,10:31:26
