CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
ed0d4d10ef5c,pensive_golick,0.00%,158.1MiB/1.907GiB,8.09%,1.78MB/31.2kB,2,0B/0B,0,01:45:09
ce98d1bd4d72,wizardly_montalcini,89.43%,163.7MiB/1.907GiB,8.38%,2.11MB/53.6kB,3,0B/0B,0,01:45:09
fac9da6669e6,focused_dubinsky1,0.00%,185.7MiB/1.907GiB,9.51%,4.14MB/51.2kB,4,0B/0B,0,01:45:09
3f800787fd40,suspicious_khorana,102.65%,188.2MiB/1.907GiB,9.64%,5.42MB/57.6kB,5,0B/0B,0,01:45:09
50115f0f9c35,musing_lovelace,0.00%,210.4MiB/1.907GiB,10.77%,5.7MB/98.4kB,6,0B/0B,0,01:45:09
0168e1c4c11d,focused_brattain,0.00%,199.8MiB/1.907GiB,10.23%,7.3MB/95.9kB,7,0B/0B,0,01:45:09
5c1b86e36386,nifty_meninsky,99.61%,207.8MiB/1.907GiB,10.64%,7.37MB/134kB,8,0B/0B,0,01:45:09
c2b4c19efc76,brave_galileo,29.03%,210.2MiB/1.907GiB,10.76%,7.35MB/111kB,9,0B/1.06MB,0,01:45:09
ed0d4d10ef5c,pensive_golick,103.19%,220.8MiB/1.907GiB,11.30%,7.32MB/90.4kB,2,0B/811kB,0,01:46:30
ce98d1bd4d72,wizardly_montalcini,102.67%,228MiB/1.907GiB,11.67%,7.34MB/108kB,3,0B/1.14MB,0,01:46:30
fac9da6669e6,focused_dubinsky1,0.00%,229MiB/1.907GiB,11.72%,7.34MB/120kB,4,0B/1.11MB,0,01:46:30
3f800787fd40,suspicious_khorana,0.00%,227.3MiB/1.907GiB,11.64%,7.33MB/96.9kB,5,0B/2.17MB,0,01:46:30
50115f0f9c35,musing_lovelace,93.23%,254.3MiB/1.907GiB,13.02%,7.36MB/131kB,6,0B/1.18MB,0,01:46:30
0168e1c4c11d,focused_brattain,64.00%,234.6MiB/1.907GiB,12.01%,7.34MB/111kB,7,0B/2.17MB,0,01:46:30
5c1b86e36386,nifty_meninsky,18.71%,329.2MiB/1.907GiB,16.86%,7.39MB/1.32MB,8,0B/2.17MB,0,01:46:30
c2b4c19efc76,brave_galileo,0.00%,318.4MiB/1.907GiB,16.30%,7.36MB/1.3MB,9,0B/2.17MB,0,01:46:30
