calculate_maxmin_seconds,clustering_time_seconds,elapsed_time_seconds,create_histogram_seconds,MAPE,MSE,R2,testing_model_seconds,train_global_model_seconds,local_training_seconds
5.27,4.84,69.69,0.99,0.0,0.0,0.0,3.48,5.96,23.43
0.43,0.0,0.0,0.0,2733.7074992825437,0.20638473867786855,-18.728773611042584,0.0,1.33,16.95
0.42,0.0,0.0,0.0,3676.689765033764,0.19853903552823068,-18.928229056783657,0.0,1.31,16.92
0.43,0.0,0.0,0.0,905.7933879822776,0.16690560881749197,0.4501783361591494,0.0,1.34,16.84
0.43,0.0,0.0,0.0,2521.194891642099,0.20336657774639488,-17.071096330848846,0.0,1.71,14.8
0.43,0.0,0.0,0.0,3090.842492830566,0.20709309637837164,-18.680631895649327,0.0,2.25,16.62
0.43,0.0,0.0,0.0,3183.938818806956,0.20827844182233043,-19.26465876988747,0.0,1.54,14.66
0.45,0.0,0.0,0.0,637.0566624803217,0.16748019118506885,0.47469364699382954,0.0,3.46,14.57
0.44,0.0,0.0,0.0,2138.6055751807185,0.20681272176837648,-17.560981859492728,0.0,1.25,15.02
