CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,BLOCKI/O,PIDS_JULIA,PIDS_DOCKER,TIMESTAMP
2ac6c79d2c87,youthful_hugle,99.67%,191.8MiB/1.907GiB,9.82%,5.9MB/44.6kB,4,0B/0B,0,09:33:31
001b42d69155,blissful_stallman,99.88%,204.6MiB/1.907GiB,10.48%,5.92MB/59.2kB,5,0B/0B,0,09:33:31
2ac6c79d2c87,youthful_hugle,42.44%,198.1MiB/1.907GiB,10.14%,9.06MB/91.7kB,4,0B/0B,0,09:33:40
001b42d69155,blissful_stallman,100.14%,202.9MiB/1.907GiB,10.39%,9.11MB/96.5kB,5,0B/0B,0,09:33:40
2ac6c79d2c87,youthful_hugle,99.80%,218.5MiB/1.907GiB,11.19%,9.08MB/94.7kB,4,0B/106kB,0,09:33:49
001b42d69155,blissful_stallman,100.17%,216.3MiB/1.907GiB,11.07%,9.11MB/99kB,5,0B/123kB,0,09:33:49
2ac6c79d2c87,youthful_hugle,89.74%,225.2MiB/1.907GiB,11.53%,9.08MB/97.3kB,4,0B/221kB,0,09:33:59
001b42d69155,blissful_stallman,100.07%,241.8MiB/1.907GiB,12.38%,9.11MB/103kB,5,0B/614kB,0,09:33:59
