CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,BLOCKI/O,PIDS_JULIA,PIDS_DOCKER,TIMESTAMP
256f601b0e7e,wonderful_goldstine,100.17%,191.6MiB/1.907GiB,9.81%,5.92MB/67.6kB,102,0B/0B,0,10:13:11
bcbb6106dd0a,practical_babbage,99.63%,190.3MiB/1.907GiB,9.75%,5.95MB/60.7kB,103,0B/0B,0,10:13:11
256f601b0e7e,wonderful_goldstine,91.85%,197.1MiB/1.907GiB,10.09%,9.07MB/98.2kB,102,0B/0B,0,10:13:20
bcbb6106dd0a,practical_babbage,75.73%,198MiB/1.907GiB,10.14%,9.13MB/96.4kB,103,0B/0B,0,10:13:20
256f601b0e7e,wonderful_goldstine,100.08%,212.8MiB/1.907GiB,10.90%,9.1MB/104kB,102,0B/0B,0,10:13:29
bcbb6106dd0a,practical_babbage,100.12%,211.5MiB/1.907GiB,10.83%,9.13MB/98.3kB,103,0B/0B,0,10:13:29
256f601b0e7e,wonderful_goldstine,98.77%,222.5MiB/1.907GiB,11.39%,9.1MB/107kB,102,0B/24.6kB,0,10:13:38
bcbb6106dd0a,practical_babbage,99.66%,236.6MiB/1.907GiB,12.11%,9.13MB/103kB,103,0B/164kB,0,10:13:38
