CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
c8a10dc924a2,amazing_saha,2.77%,191.9MiB/1.907GiB,9.83%,7.34MB/103kB,2,0B/0B,0,19:03:23
8af6fea193e6,festive_swartz,0.00%,210.2MiB/1.907GiB,10.76%,7.34MB/129kB,3,0B/1.06MB,0,19:03:23
7880b1eada57,romantic_neumann,99.06%,220.3MiB/1.907GiB,11.28%,7.33MB/98.4kB,4,0B/1.08MB,0,19:03:23
f0b5007ee665,pedantic_pare,100.40%,229.3MiB/1.907GiB,11.74%,7.37MB/110kB,5,0B/1.18MB,0,19:03:23
fdda319083f5,sleepy_swanson,99.58%,224.6MiB/1.907GiB,11.50%,7.32MB/91.1kB,6,0B/1.77MB,0,19:03:23
7b71e953b8be,quizzical_hypatia,51.04%,280.3MiB/1.907GiB,14.35%,7.35MB/134kB,7,0B/2.17MB,0,19:03:23
a706f0541143,agitated_bhaskara,0.00%,325.1MiB/1.907GiB,16.64%,7.39MB/1.33MB,8,0B/2.17MB,0,19:03:23
dfcdb0eecbb0,happy_torvalds2,0.00%,317.8MiB/1.907GiB,16.27%,7.4MB/1.33MB,9,0B/2.17MB,0,19:03:23
