CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
c310e913cb97,quizzical_booth,0.00%,157.9MiB/1.907GiB,8.09%,1.82MB/38.6kB,2,0B/0B,0,03:08:40
28e00a91c986,nervous_euclid,0.00%,164MiB/1.907GiB,8.40%,1.88MB/39.3kB,3,0B/0B,0,03:08:40
59b46d632eb1,compassionate_joliot,103.57%,162.8MiB/1.907GiB,8.34%,1.88MB/48.5kB,4,0B/0B,0,03:08:40
416ea5769e95,focused_borg,0.00%,179.9MiB/1.907GiB,9.21%,4.26MB/103kB,5,0B/0B,0,03:08:40
1761707933d1,frosty_bhaskara,99.01%,200.7MiB/1.907GiB,10.27%,5.53MB/108kB,6,0B/0B,0,03:08:40
9a8e5a5277b3,zen_shockley,102.22%,201MiB/1.907GiB,10.29%,5.61MB/146kB,7,0B/0B,0,03:08:40
78de31076d95,peaceful_payne,0.00%,198.9MiB/1.907GiB,10.18%,5.79MB/125kB,8,0B/0B,0,03:08:40
f144fba554b3,cocky_bhabha,0.00%,190.9MiB/1.907GiB,9.78%,5.74MB/107kB,9,0B/0B,0,03:08:40
8ad865289a46,goofy_chaplygin,102.87%,193.4MiB/1.907GiB,9.90%,5.86MB/135kB,10,0B/0B,0,03:08:40
242aefbd3642,compassionate_jackson,0.00%,211.4MiB/1.907GiB,10.83%,7.44MB/183kB,11,0B/0B,0,03:08:40
fb92324baf1d,kind_wilson5,0.00%,197.4MiB/1.907GiB,10.11%,7.51MB/197kB,12,0B/0B,0,03:08:40
9efa86854124,wizardly_varahamihira,0.00%,197.5MiB/1.907GiB,10.11%,7.4MB/155kB,13,0B/0B,0,03:08:40
935f9424730f,kind_lovelace,0.00%,199.1MiB/1.907GiB,10.19%,7.52MB/146kB,14,0B/0B,0,03:08:40
ee2fe8cc368c,modest_hypatia,0.00%,192.7MiB/1.907GiB,9.87%,7.39MB/143kB,15,0B/0B,0,03:08:40
5c0ce256f255,vibrant_meninsky,88.63%,201MiB/1.907GiB,10.29%,7.44MB/158kB,16,0B/0B,0,03:08:40
0f2a465209b1,loving_keller,0.00%,210.1MiB/1.907GiB,10.76%,7.39MB/126kB,17,0B/0B,0,03:08:40
c310e913cb97,quizzical_booth,0.00%,207.5MiB/1.907GiB,10.62%,7.54MB/144kB,2,0B/0B,0,03:12:09
28e00a91c986,nervous_euclid,91.79%,224.6MiB/1.907GiB,11.50%,7.59MB/160kB,3,0B/16.4kB,0,03:12:09
59b46d632eb1,compassionate_joliot,83.43%,244.1MiB/1.907GiB,12.50%,7.51MB/137kB,4,0B/1.18MB,0,03:12:09
416ea5769e95,focused_borg,102.49%,225.2MiB/1.907GiB,11.53%,7.43MB/160kB,5,0B/1.67MB,0,03:12:09
1761707933d1,frosty_bhaskara,0.00%,245.2MiB/1.907GiB,12.55%,7.52MB/159kB,6,0B/2.17MB,0,03:12:09
9a8e5a5277b3,zen_shockley,0.00%,237.6MiB/1.907GiB,12.17%,7.52MB/216kB,7,0B/2.17MB,0,03:12:09
78de31076d95,peaceful_payne,0.00%,232.5MiB/1.907GiB,11.90%,7.44MB/156kB,8,0B/1.11MB,0,03:12:09
f144fba554b3,cocky_bhabha,101.18%,313.4MiB/1.907GiB,16.05%,7.48MB/171kB,9,0B/1.11MB,0,03:12:09
8ad865289a46,goofy_chaplygin,102.90%,251.7MiB/1.907GiB,12.89%,7.53MB/162kB,10,0B/1.02MB,0,03:12:09
242aefbd3642,compassionate_jackson,0.00%,336.1MiB/1.907GiB,17.21%,7.49MB/218kB,11,0B/1.02MB,0,03:12:09
fb92324baf1d,kind_wilson5,0.00%,320.4MiB/1.907GiB,16.41%,7.56MB/233kB,12,0B/1.02MB,0,03:12:09
9efa86854124,wizardly_varahamihira,0.00%,412.1MiB/1.907GiB,21.10%,7.49MB/2.43MB,13,0B/1.02MB,0,03:12:09
935f9424730f,kind_lovelace,0.00%,412.7MiB/1.907GiB,21.13%,7.59MB/2.4MB,14,0B/1.02MB,0,03:12:09
ee2fe8cc368c,modest_hypatia,0.00%,397.1MiB/1.907GiB,20.33%,7.46MB/2.4MB,15,0B/1.02MB,0,03:12:09
5c0ce256f255,vibrant_meninsky,0.00%,398.5MiB/1.907GiB,20.40%,7.47MB/2.41MB,16,0B/1.02MB,0,03:12:09
0f2a465209b1,loving_keller,0.00%,417.4MiB/1.907GiB,21.37%,7.45MB/2.42MB,17,0B/1.02MB,0,03:12:09
28e00a91c986,nervous_euclid,0.00%,409MiB/1.907GiB,20.94%,7.63MB/2.49MB,3,0B/1.11MB,0,03:14:45
59b46d632eb1,compassionate_joliot,0.00%,406.2MiB/1.907GiB,20.80%,7.53MB/2.37MB,4,0B/2.17MB,0,03:14:45
416ea5769e95,focused_borg,0.15%,413.7MiB/1.907GiB,21.18%,7.49MB/2.66MB,5,0B/2.17MB,0,03:14:45
1761707933d1,frosty_bhaskara,0.00%,424.8MiB/1.907GiB,21.75%,7.54MB/2.38MB,6,0B/2.17MB,0,03:14:45
9a8e5a5277b3,zen_shockley,0.00%,422.9MiB/1.907GiB,21.65%,7.56MB/2.46MB,7,0B/2.17MB,0,03:14:45
78de31076d95,peaceful_payne,0.00%,419.5MiB/1.907GiB,21.48%,7.47MB/2.39MB,8,0B/1.11MB,0,03:14:45
f144fba554b3,cocky_bhabha,0.00%,410.7MiB/1.907GiB,21.03%,7.51MB/2.38MB,9,0B/1.11MB,0,03:14:45
8ad865289a46,goofy_chaplygin,0.27%,412.2MiB/1.907GiB,21.10%,7.56MB/2.39MB,10,0B/1.02MB,0,03:14:45
242aefbd3642,compassionate_jackson,0.00%,423.3MiB/1.907GiB,21.68%,7.51MB/2.43MB,11,0B/1.02MB,0,03:14:45
fb92324baf1d,kind_wilson5,0.00%,397.9MiB/1.907GiB,20.37%,7.59MB/2.45MB,12,0B/1.02MB,0,03:14:45
9efa86854124,wizardly_varahamihira,0.00%,412.1MiB/1.907GiB,21.10%,7.5MB/2.43MB,13,0B/1.02MB,0,03:14:45
935f9424730f,kind_lovelace,0.00%,412.7MiB/1.907GiB,21.13%,7.59MB/2.4MB,14,0B/1.02MB,0,03:14:45
ee2fe8cc368c,modest_hypatia,0.00%,397MiB/1.907GiB,20.33%,7.46MB/2.4MB,15,0B/1.02MB,0,03:14:45
5c0ce256f255,vibrant_meninsky,0.00%,398.4MiB/1.907GiB,20.40%,7.48MB/2.41MB,16,0B/1.02MB,0,03:14:45
0f2a465209b1,loving_keller,0.00%,417.4MiB/1.907GiB,21.37%,7.46MB/2.42MB,17,0B/1.02MB,0,03:14:45
9efa86854124,wizardly_varahamihira,0.00%,412.1MiB/1.907GiB,21.10%,7.5MB/2.43MB,13,0B/1.02MB,0,03:16:55
935f9424730f,kind_lovelace,0.00%,15.56MiB/1.907GiB,0.80%,7.59MB/2.4MB,14,0B/1.02MB,0,03:16:55
ee2fe8cc368c,modest_hypatia,0.00%,397MiB/1.907GiB,20.33%,7.46MB/2.4MB,15,0B/1.02MB,0,03:16:55
5c0ce256f255,vibrant_meninsky,0.00%,398.4MiB/1.907GiB,20.40%,7.48MB/2.41MB,16,0B/1.02MB,0,03:16:55
0f2a465209b1,loving_keller,0.00%,417.4MiB/1.907GiB,21.37%,7.46MB/2.42MB,17,0B/1.02MB,0,03:16:55
