calculate_maxmin_seconds,clustering_time_seconds,elapsed_time_seconds,create_histogram_seconds,MAPE,MSE,R2,testing_model_seconds,train_global_model_seconds,local_training_seconds
6.9,4.53,85.5,1.09,0.0,0.0,0.0,4.12,5.25,25.54
1.09,0.0,0.0,0.0,873.1749037922826,0.5190945176799856,-3.0076365750184104,0.0,2.28,20.51
1.34,0.0,0.0,0.0,5044.226834748079,0.674408980607317,-58.41766633815834,0.0,2.5,18.88
1.61,0.0,0.0,0.0,1677.2294857366592,0.5325904595380099,-3.0564104837195076,0.0,1.09,14.15
0.87,0.0,0.0,0.0,4255.739584855878,0.6520418773512728,-55.67230319755919,0.0,1.1,14.5
1.66,0.0,0.0,0.0,1166.622716301816,0.5212987466646194,-3.030346044664385,0.0,2.37,17.52
0.87,0.0,0.0,0.0,6553.971987376296,0.654646837053803,-56.670646124872945,0.0,1.17,14.81
1.65,0.0,0.0,0.0,1168.407480998859,0.5287912078231363,-2.8788593709827657,0.0,2.42,18.74
1.62,0.0,0.0,0.0,5104.779868201825,0.6714293635714615,-58.60507258902947,0.0,1.19,15.14
