CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
321635b76298,relaxed_curran6,92.01%,163.7MiB/1.907GiB,8.38%,4.57MB/66.5kB,2,24.6kB/0B,0,14:33:12
3fab310abe4c,silly_keller,90.06%,251.7MiB/1.907GiB,12.89%,12.6MB/65.3kB,3,0B/0B,0,14:33:12
b1526b321763,blissful_jennings,99.64%,241.3MiB/1.907GiB,12.36%,12.8MB/212kB,4,0B/0B,0,14:33:12
0b85facdbbd7,zen_austin,95.21%,243.3MiB/1.907GiB,12.46%,12.6MB/123kB,5,0B/0B,0,14:33:12
aaf1478da58d,wizardly_noether,108.48%,241.4MiB/1.907GiB,12.36%,12.5MB/87kB,6,0B/0B,0,14:33:12
1794cee8aff3,nervous_johnson,103.17%,198.4MiB/1.907GiB,10.16%,14.1MB/126kB,7,0B/0B,0,14:33:12
e11ae023f9d7,frosty_yonath,59.24%,194.9MiB/1.907GiB,9.98%,16MB/231kB,8,0B/0B,0,14:33:12
5f2219852bda,eager_galileo,84.25%,206.1MiB/1.907GiB,10.55%,15.8MB/89.6kB,9,0B/0B,0,14:33:12
321635b76298,relaxed_curran6,0.00%,204.5MiB/1.907GiB,10.47%,15.9MB/150kB,2,24.6kB/1.59MB,0,14:34:12
3fab310abe4c,silly_keller,99.62%,224.3MiB/1.907GiB,11.48%,15.9MB/107kB,3,0B/16.4kB,0,14:34:12
b1526b321763,blissful_jennings,99.72%,224.5MiB/1.907GiB,11.49%,16.1MB/255kB,4,0B/1.18MB,0,14:34:12
0b85facdbbd7,zen_austin,86.86%,234.3MiB/1.907GiB,12.00%,15.9MB/172kB,5,0B/2.17MB,0,14:34:12
aaf1478da58d,wizardly_noether,16.84%,288.3MiB/1.907GiB,14.76%,15.8MB/296kB,6,0B/2.17MB,0,14:34:12
1794cee8aff3,nervous_johnson,0.00%,334.1MiB/1.907GiB,17.10%,16.1MB/1.46MB,7,0B/2.17MB,0,14:34:12
e11ae023f9d7,frosty_yonath,0.00%,329.5MiB/1.907GiB,16.87%,16MB/1.57MB,8,0B/1.11MB,0,14:34:12
5f2219852bda,eager_galileo,0.27%,330.2MiB/1.907GiB,16.91%,15.9MB/1.34MB,9,61.4kB/1.38MB,0,14:34:12
