calculate_maxmin_seconds,clustering_time_seconds,elapsed_time_seconds,create_histogram_seconds,MAPE,MSE,R2,testing_model_seconds,train_global_model_seconds,local_training_seconds
10.32,4.59,148.48,7.57,0.0,0.0,0.0,5.99,9.63,44.39
0.62,0.0,0.0,0.0,486.4881248437157,0.08802405918329453,0.6237693640080377,0.0,0.99,22.48
4.34,0.0,0.0,0.0,1061.088598674041,0.07444475681649265,-6.271966037254897,0.0,5.74,34.76
3.22,0.0,0.0,0.0,473.01796808893783,0.08134131143060784,0.6104058657152008,0.0,5.67,30.37
1.38,0.0,0.0,0.0,1589.9120833416357,0.0801800504899151,-5.49172412497174,0.0,1.87,21.97
0.43,0.0,0.0,0.0,381.1289562366919,0.09148008479082714,0.640891289627249,0.0,1.82,22.02
0.7,0.0,0.0,0.0,1350.4478558042754,0.07927449388565798,-6.277748531943612,0.0,4.63,38.51
0.42,0.0,0.0,0.0,328.06303995384735,0.0876507860562267,0.6284115562380892,0.0,1.87,19.58
0.5,0.0,0.0,0.0,957.8001301783928,0.0805798069722561,-5.682065197491837,0.0,1.8,22.21
