CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,BLOCKI/O,PIDS_JULIA,PIDS_DOCKER,TIMESTAMP
850c03aea284,nostalgic_einstein,90.05%,190MiB/1.907GiB,9.73%,5.9MB/44.6kB,128,0B/0B,0,10:23:44
42c506a1b86d,awesome_feynman,93.02%,196MiB/1.907GiB,10.03%,5.93MB/76.2kB,129,0B/0B,0,10:23:44
850c03aea284,nostalgic_einstein,28.28%,197.7MiB/1.907GiB,10.12%,9.06MB/96kB,128,0B/0B,0,10:23:54
42c506a1b86d,awesome_feynman,100.03%,208.2MiB/1.907GiB,10.66%,9.1MB/118kB,129,0B/0B,0,10:23:54
850c03aea284,nostalgic_einstein,99.73%,215.8MiB/1.907GiB,11.05%,9.08MB/98.4kB,128,0B/0B,0,10:24:03
42c506a1b86d,awesome_feynman,99.72%,219.8MiB/1.907GiB,11.26%,9.1MB/121kB,129,0B/0B,0,10:24:03
850c03aea284,nostalgic_einstein,100.35%,222.5MiB/1.907GiB,11.39%,9.08MB/102kB,128,0B/49.2kB,0,10:24:12
42c506a1b86d,awesome_feynman,99.75%,245.5MiB/1.907GiB,12.57%,9.1MB/125kB,129,0B/164kB,0,10:24:12
