CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
ad5fbb2402ba,xenodochial_franklin,0.00%,190.4MiB/1.907GiB,9.75%,5.67MB/81kB,2,0B/0B,0,19:04:39
87bbfc2bdd87,modest_saha,100.22%,200.8MiB/1.907GiB,10.28%,7.33MB/89.9kB,3,0B/0B,0,19:04:39
27afbeb1452e,determined_tereshkova,97.02%,217.8MiB/1.907GiB,11.15%,7.33MB/87.9kB,4,0B/1.06MB,0,19:04:39
529575edaccf,stupefied_lalande,91.01%,227.1MiB/1.907GiB,11.63%,7.34MB/104kB,5,0B/1.06MB,0,19:04:39
e54e9113a533,agitated_darwin,104.18%,220.8MiB/1.907GiB,11.30%,7.35MB/106kB,6,0B/1.08MB,0,19:04:39
eeece4289ac0,stupefied_einstein,100.00%,246MiB/1.907GiB,12.60%,7.36MB/102kB,7,0B/1.18MB,0,19:04:39
315d5bbdb0f8,tender_stallman,0.00%,228.9MiB/1.907GiB,11.72%,7.55MB/159kB,8,0B/2.17MB,0,19:04:39
d3020a85aaae,reverent_rosalind,101.37%,236.7MiB/1.907GiB,12.12%,7.37MB/119kB,9,0B/1.38MB,0,19:04:39
