CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
49180d6dc745,unruffled_ride,93.89%,140.9MiB/1.907GiB,7.21%,1.75MB/23kB,2,0B/0B,0,18:10:19
45da7a94814f,thirsty_vaughan,34.21%,245MiB/1.907GiB,12.54%,12.4MB/59kB,3,0B/0B,0,18:10:19
ff04ba9ee42a,gifted_stallman,102.76%,239.8MiB/1.907GiB,12.28%,12.5MB/67.5kB,4,0B/0B,0,18:10:19
df1c7f52f422,pensive_pare,99.67%,240.9MiB/1.907GiB,12.34%,12.4MB/59.2kB,5,0B/0B,0,18:10:19
3d0d2ec7e237,stoic_stallman,99.83%,244.3MiB/1.907GiB,12.51%,12.4MB/60.1kB,6,0B/0B,0,18:10:19
f0c95c0cdecf,admiring_mendeleev,99.74%,247.8MiB/1.907GiB,12.69%,12.5MB/94.5kB,7,0B/0B,0,18:10:19
8fd07b8907cd,wizardly_goodall,98.00%,215MiB/1.907GiB,11.01%,13.9MB/59.5kB,8,0B/0B,0,18:10:19
ab4dfed95422,distracted_chebyshev,0.00%,198MiB/1.907GiB,10.14%,14.1MB/75.8kB,9,0B/0B,0,18:10:19
49180d6dc745,unruffled_ride,0.00%,194.8MiB/1.907GiB,9.97%,14.1MB/92.9kB,2,0B/0B,0,18:11:30
45da7a94814f,thirsty_vaughan,0.00%,198.1MiB/1.907GiB,10.14%,15.8MB/90.9kB,3,0B/0B,0,18:11:30
ff04ba9ee42a,gifted_stallman,99.57%,199.7MiB/1.907GiB,10.22%,15.8MB/148kB,4,0B/0B,0,18:11:30
df1c7f52f422,pensive_pare,0.00%,203.6MiB/1.907GiB,10.42%,15.8MB/98.3kB,5,0B/1.06MB,0,18:11:30
3d0d2ec7e237,stoic_stallman,101.15%,212.5MiB/1.907GiB,10.88%,15.8MB/97.8kB,6,0B/1.06MB,0,18:11:30
f0c95c0cdecf,admiring_mendeleev,100.98%,230.2MiB/1.907GiB,11.78%,15.9MB/164kB,7,0B/1.7MB,0,18:11:30
8fd07b8907cd,wizardly_goodall,0.00%,235.2MiB/1.907GiB,12.04%,15.8MB/99.2kB,8,0B/2.7MB,0,18:11:30
ab4dfed95422,distracted_chebyshev,0.00%,235.8MiB/1.907GiB,12.07%,15.8MB/96.4kB,9,0B/2.17MB,0,18:11:30
49180d6dc745,unruffled_ride,0.00%,286.8MiB/1.907GiB,14.69%,15.8MB/144kB,2,0B/1.9MB,0,18:12:32
45da7a94814f,thirsty_vaughan,0.00%,309.9MiB/1.907GiB,15.87%,15.8MB/1.28MB,3,0B/2.17MB,0,18:12:32
ff04ba9ee42a,gifted_stallman,0.00%,327.1MiB/1.907GiB,16.75%,15.8MB/1.38MB,4,0B/2.17MB,0,18:12:32
df1c7f52f422,pensive_pare,0.00%,327.8MiB/1.907GiB,16.78%,15.8MB/1.29MB,5,0B/2.17MB,0,18:12:32
3d0d2ec7e237,stoic_stallman,0.27%,327.4MiB/1.907GiB,16.76%,15.8MB/1.29MB,6,0B/2.17MB,0,18:12:32
f0c95c0cdecf,admiring_mendeleev,0.00%,334.8MiB/1.907GiB,17.14%,15.9MB/1.35MB,7,0B/2.7MB,0,18:12:32
8fd07b8907cd,wizardly_goodall,0.00%,335MiB/1.907GiB,17.15%,15.8MB/1.28MB,8,0B/2.7MB,0,18:12:32
ab4dfed95422,distracted_chebyshev,0.00%,333.9MiB/1.907GiB,17.09%,15.8MB/1.28MB,9,0B/2.17MB,0,18:12:32
