CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
39d8e06ad078,gracious_beaver,78.61%,158.2MiB/1.907GiB,8.10%,1.76MB/28.8kB,2,0B/0B,0,15:44:08
5f9c8a38c68b,angry_archimedes,98.82%,163.5MiB/1.907GiB,8.37%,2.5MB/40.5kB,3,0B/0B,0,15:44:08
03951641e058,friendly_brahmagupta,103.25%,248.1MiB/1.907GiB,12.70%,12.7MB/99.5kB,4,0B/0B,0,15:44:08
dfff3aa1b03e,nostalgic_lalande,91.97%,242.3MiB/1.907GiB,12.41%,12.5MB/66.5kB,5,0B/0B,0,15:44:08
d193686f9bf8,admiring_engelbart,72.08%,241.8MiB/1.907GiB,12.38%,12.5MB/72.3kB,6,0B/0B,0,15:44:08
e8854b4d38fc,dreamy_neumann,81.84%,239.4MiB/1.907GiB,12.26%,12.4MB/55.2kB,7,0B/0B,0,15:44:08
e72ce47e930e,dreamy_archimedes,104.23%,243.1MiB/1.907GiB,12.45%,12.4MB/61.2kB,8,0B/0B,0,15:44:08
62fceab82755,nostalgic_archimedes6,0.00%,206.7MiB/1.907GiB,10.59%,12.6MB/69.4kB,9,0B/0B,0,15:44:08
39d8e06ad078,gracious_beaver,75.97%,241MiB/1.907GiB,12.34%,12.4MB/53.5kB,2,0B/0B,0,15:45:22
5f9c8a38c68b,angry_archimedes,103.90%,207.2MiB/1.907GiB,10.61%,12.6MB/65.3kB,3,0B/0B,0,15:45:22
03951641e058,friendly_brahmagupta,23.52%,212.6MiB/1.907GiB,10.89%,13.6MB/121kB,4,0B/0B,0,15:45:22
dfff3aa1b03e,nostalgic_lalande,0.00%,193.3MiB/1.907GiB,9.90%,14.1MB/93kB,5,0B/0B,0,15:45:22
d193686f9bf8,admiring_engelbart,0.00%,194MiB/1.907GiB,9.93%,15.8MB/104kB,6,0B/0B,0,15:45:22
e8854b4d38fc,dreamy_neumann,177.27%,200MiB/1.907GiB,10.24%,15.8MB/91kB,7,0B/0B,0,15:45:22
e72ce47e930e,dreamy_archimedes,19.99%,208MiB/1.907GiB,10.65%,15.8MB/142kB,8,0B/0B,0,15:45:22
62fceab82755,nostalgic_archimedes6,0.00%,207.7MiB/1.907GiB,10.64%,15.8MB/110kB,9,0B/1.06MB,0,15:45:22
39d8e06ad078,gracious_beaver,102.91%,215.3MiB/1.907GiB,11.02%,15.8MB/91kB,2,0B/1.08MB,0,15:46:40
5f9c8a38c68b,angry_archimedes,99.37%,221.9MiB/1.907GiB,11.36%,15.8MB/124kB,3,0B/1.08MB,0,15:46:40
03951641e058,friendly_brahmagupta,99.11%,233.4MiB/1.907GiB,11.95%,16MB/179kB,4,0B/115kB,0,15:46:40
dfff3aa1b03e,nostalgic_lalande,0.00%,230.6MiB/1.907GiB,11.81%,15.8MB/114kB,5,0B/2.7MB,0,15:46:40
d193686f9bf8,admiring_engelbart,0.00%,228.2MiB/1.907GiB,11.68%,15.8MB/119kB,6,0B/2.17MB,0,15:46:40
e8854b4d38fc,dreamy_neumann,0.00%,284.4MiB/1.907GiB,14.56%,15.8MB/111kB,7,0B/2.7MB,0,15:46:40
e72ce47e930e,dreamy_archimedes,0.00%,331.8MiB/1.907GiB,16.99%,15.8MB/1.34MB,8,8.19kB/1.11MB,0,15:46:40
62fceab82755,nostalgic_archimedes6,0.00%,332.5MiB/1.907GiB,17.02%,15.8MB/1.37MB,9,0B/2.17MB,0,15:46:40
5f9c8a38c68b,angry_archimedes,0.00%,311.5MiB/1.907GiB,15.95%,15.8MB/1.32MB,3,0B/2.17MB,0,15:48:30
03951641e058,friendly_brahmagupta,0.00%,314.1MiB/1.907GiB,16.08%,16.1MB/1.41MB,4,0B/1.11MB,0,15:48:30
dfff3aa1b03e,nostalgic_lalande,0.00%,326.6MiB/1.907GiB,16.72%,15.8MB/1.29MB,5,0B/2.7MB,0,15:48:30
d193686f9bf8,admiring_engelbart,0.00%,327.8MiB/1.907GiB,16.78%,15.8MB/1.3MB,6,0B/2.17MB,0,15:48:30
e8854b4d38fc,dreamy_neumann,0.00%,326.4MiB/1.907GiB,16.71%,15.8MB/1.28MB,7,0B/2.7MB,0,15:48:30
e72ce47e930e,dreamy_archimedes,0.00%,331.6MiB/1.907GiB,16.98%,15.8MB/1.34MB,8,8.19kB/1.11MB,0,15:48:30
62fceab82755,nostalgic_archimedes6,0.00%,332.5MiB/1.907GiB,17.02%,15.8MB/1.37MB,9,0B/2.17MB,0,15:48:30
5f9c8a38c68b,angry_archimedes,0.00%,311.5MiB/1.907GiB,15.95%,15.8MB/1.32MB,3,0B/2.17MB,0,15:49:22
03951641e058,friendly_brahmagupta,0.00%,314.1MiB/1.907GiB,16.08%,16.1MB/1.41MB,4,0B/1.11MB,0,15:49:22
dfff3aa1b03e,nostalgic_lalande,0.00%,326.6MiB/1.907GiB,16.72%,15.8MB/1.29MB,5,0B/2.7MB,0,15:49:22
d193686f9bf8,admiring_engelbart,0.00%,327.8MiB/1.907GiB,16.78%,15.8MB/1.3MB,6,0B/2.17MB,0,15:49:22
e8854b4d38fc,dreamy_neumann,0.00%,326.4MiB/1.907GiB,16.71%,15.8MB/1.28MB,7,0B/2.7MB,0,15:49:22
e72ce47e930e,dreamy_archimedes,0.00%,331.6MiB/1.907GiB,16.98%,15.8MB/1.34MB,8,8.19kB/1.11MB,0,15:49:22
62fceab82755,nostalgic_archimedes6,0.00%,332.4MiB/1.907GiB,17.02%,15.8MB/1.37MB,9,0B/2.17MB,0,15:49:22
