CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
2c1e39ffa0ef,infallible_banach,0.00%,191MiB/1.907GiB,9.78%,5.7MB/94.3kB,2,0B/0B,0,09:22:29
28f202ddd969,optimistic_payne,15.65%,191.8MiB/1.907GiB,9.82%,5.69MB/85.9kB,3,0B/0B,0,09:22:29
84fcb3e4ba2d,kind_panini,0.00%,198.4MiB/1.907GiB,10.16%,5.7MB/102kB,4,0B/0B,0,09:22:29
61027ee175f1,optimistic_swanson,0.00%,205.3MiB/1.907GiB,10.51%,7.31MB/99.5kB,5,0B/0B,0,09:22:29
ec89ea35ba53,brave_colden,2.28%,194.8MiB/1.907GiB,9.97%,7.33MB/121kB,6,0B/0B,0,09:22:29
76e3f62881b9,boring_mahavira,99.01%,205.7MiB/1.907GiB,10.53%,7.36MB/107kB,7,0B/0B,0,09:22:29
0af4a9f42b40,wizardly_morse,103.22%,211.5MiB/1.907GiB,10.83%,7.36MB/115kB,8,0B/1.06MB,0,09:22:29
af0d1fd0a1a1,lucid_swanson,103.09%,204.1MiB/1.907GiB,10.45%,7.36MB/122kB,9,0B/1.06MB,0,09:22:29
2c1e39ffa0ef,infallible_banach,116.50%,222.3MiB/1.907GiB,11.38%,7.36MB/122kB,2,0B/1.08MB,0,09:23:54
28f202ddd969,optimistic_payne,103.65%,224MiB/1.907GiB,11.47%,7.36MB/100kB,3,0B/1.18MB,0,09:23:54
84fcb3e4ba2d,kind_panini,0.00%,230.8MiB/1.907GiB,11.82%,7.36MB/123kB,4,0B/1.89MB,0,09:23:54
61027ee175f1,optimistic_swanson,0.00%,232.8MiB/1.907GiB,11.92%,7.35MB/115kB,5,0B/2.23MB,0,09:23:54
ec89ea35ba53,brave_colden,100.19%,232.5MiB/1.907GiB,11.91%,7.37MB/135kB,6,0B/2.22MB,0,09:23:54
76e3f62881b9,boring_mahavira,0.00%,286.8MiB/1.907GiB,14.69%,7.37MB/126kB,7,0B/2.17MB,0,09:23:54
0af4a9f42b40,wizardly_morse,0.00%,283.2MiB/1.907GiB,14.50%,7.37MB/140kB,8,0B/2.17MB,0,09:23:54
af0d1fd0a1a1,lucid_swanson,0.00%,320.4MiB/1.907GiB,16.40%,7.38MB/1.33MB,9,0B/2.17MB,0,09:23:54
