calculate_maxmin_seconds,clustering_time_seconds,elapsed_time_seconds,create_histogram_seconds,MAPE,MSE,R2,testing_model_seconds,train_global_model_seconds,local_training_seconds
9.25,4.57,113.28,1.62,0.0,0.0,0.0,6.27,6.45,31.09
0.46,0.0,0.0,0.0,3048.52282491106,0.14316705091425844,-12.490286314911076,0.0,1.09,18.24
0.43,0.0,0.0,0.0,1833.0225824404945,0.13730667749945255,-12.644825325643462,0.0,3.67,25.52
0.43,0.0,0.0,0.0,553.9335646660813,0.13232116636857477,0.7083146187934617,0.0,3.68,24.78
0.43,0.0,0.0,0.0,1723.1592156215236,0.14453000601055596,-11.654093637425124,0.0,1.09,17.24
0.39,0.0,0.0,0.0,3324.996076287028,0.1454503672481624,-12.694071261298472,0.0,3.71,22.73
0.42,0.0,0.0,0.0,2605.8368583928313,0.14123482901830453,-13.231232143346388,0.0,1.1,17.79
1.71,0.0,0.0,0.0,375.7598206726864,0.12827333209044525,0.6926305378917701,0.0,1.12,17.75
0.42,0.0,0.0,0.0,2178.1816414822506,0.14026366424306488,-11.686303471621017,0.0,3.09,25.34
