calculate_maxmin_seconds,clustering_time_seconds,elapsed_time_seconds,create_histogram_seconds,MAPE,MSE,R2,testing_model_seconds,train_global_model_seconds,local_training_seconds
4.59,4.55,51.72,0.71,0.0,0.0,0.0,1.41,3.76,19.1
0.43,0.0,0.0,0.0,1218.5266675490418,0.04617499758865407,-3.539651138121032,0.0,1.04,13.98
0.42,0.0,0.0,0.0,313.03319779563014,0.08330514973156862,0.5658306783200242,0.0,1.03,13.39
0.42,0.0,0.0,0.0,881.6489829918293,0.03095249957922024,-1.802440726391103,0.0,1.07,14.31
0.45,0.0,0.0,0.0,6872.72789584718,0.04667322451910232,-3.2720829958289697,0.0,1.1,14.22
0.43,0.0,0.0,0.0,271.6101875566698,0.07554794858936352,0.5514074168393979,0.0,1.04,13.52
0.43,0.0,0.0,0.0,1810.5454266951203,0.04670962280961632,-2.968169482898043,0.0,1.04,13.61
0.43,0.0,0.0,0.0,9408.177406228506,0.03141175449788397,-2.1239018795538875,0.0,1.03,13.78
0.43,0.0,0.0,0.0,591.9307449345799,0.08285467908294067,0.5508757819982559,0.0,1.04,13.65
