calculate_maxmin_seconds,clustering_time_seconds,elapsed_time_seconds,create_histogram_seconds,MAPE,MSE,R2,testing_model_seconds,train_global_model_seconds,local_training_seconds
8.09,5.67,165.34,1.41,0.0,0.0,0.0,6.98,9.32,29.06
1.38,0.0,0.0,0.0,2657.8870278358886,0.22805135335900567,-21.113528527454335,0.0,1.21,20.42
1.12,0.0,0.0,0.0,3215.9720491275507,0.21971780986150155,-20.57224034593807,0.0,6.31,22.87
1.45,0.0,0.0,0.0,492.51739257647625,0.17799957374326983,0.3936118368645136,0.0,1.22,21.05
1.35,0.0,0.0,0.0,2896.8725614949926,0.22148281283035856,-18.701077709607944,0.0,1.24,19.76
0.75,0.0,0.0,0.0,8020.557026933747,0.21954817401464743,-19.43750221909765,0.0,5.81,23.0
1.44,0.0,0.0,0.0,3223.2378197384874,0.2186006385681289,-20.70588995643849,0.0,1.2,20.19
2.08,0.0,0.0,0.0,588.2261128604229,0.17659696176716755,0.40426250336894154,0.0,1.24,20.89
1.59,0.0,0.0,0.0,9773.725100538955,0.218759152036192,-18.204756601722917,0.0,1.22,20.16
0.81,0.0,0.0,0.0,6221.743813701806,0.22937613369907903,-20.47808960084785,0.0,6.3,23.05
2.38,0.0,0.0,0.0,3289.665507919885,0.21526582901676491,-20.373375566249265,0.0,6.16,22.31
2.16,0.0,0.0,0.0,641.5012270885647,0.1766097176343869,0.4262079653609855,0.0,2.12,19.44
0.45,0.0,0.0,0.0,3801.1233575173633,0.2179388776943391,-18.52932917771071,0.0,1.21,19.8
0.59,0.0,0.0,0.0,2550.1842805882707,0.23085622862484817,-21.18268035614088,0.0,5.52,23.16
0.82,0.0,0.0,0.0,3131.445810319686,0.2199104092975755,-20.82002534791334,0.0,1.22,18.51
0.63,0.0,0.0,0.0,607.3935186778374,0.17748734960888976,0.425144959665006,0.0,5.25,22.94
0.43,0.0,0.0,0.0,2253.858214931274,0.2203786427415589,-18.556981903830124,0.0,5.02,20.8
