CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,BLOCKI/O,PIDS_JULIA,PIDS_DOCKER,TIMESTAMP
92914700cb57,determined_liskov,90.01%,189.4MiB/1.907GiB,9.70%,5.9MB/50.6kB,116,0B/0B,0,10:18:49
998a2dc670f6,stupefied_joliot,100.06%,198.8MiB/1.907GiB,10.18%,5.92MB/66.1kB,117,0B/0B,0,10:18:49
92914700cb57,determined_liskov,64.23%,196.3MiB/1.907GiB,10.05%,9.06MB/88.7kB,116,0B/0B,0,10:18:59
998a2dc670f6,stupefied_joliot,99.98%,205.4MiB/1.907GiB,10.51%,9.1MB/101kB,117,0B/0B,0,10:18:59
92914700cb57,determined_liskov,100.32%,216.5MiB/1.907GiB,11.08%,9.08MB/93kB,116,0B/0B,0,10:19:08
998a2dc670f6,stupefied_joliot,99.43%,219.8MiB/1.907GiB,11.25%,9.1MB/103kB,117,0B/0B,0,10:19:08
92914700cb57,determined_liskov,98.36%,223.7MiB/1.907GiB,11.45%,9.08MB/96.1kB,116,0B/24.6kB,0,10:19:17
998a2dc670f6,stupefied_joliot,99.69%,245.6MiB/1.907GiB,12.57%,9.1MB/107kB,117,0B/73.7kB,0,10:19:17
92914700cb57,determined_liskov,100.26%,232.3MiB/1.907GiB,11.90%,9.08MB/99.7kB,116,0B/262kB,0,10:19:26
998a2dc670f6,stupefied_joliot,0.00%,254.3MiB/1.907GiB,13.02%,9.11MB/140kB,117,0B/262kB,0,10:19:26
526a1429f170,objective_mcnulty0,99.40%,142MiB/1.907GiB,7.27%,1.73MB/30.4kB,118,0B/0B,0,10:19:36
d309fe582a95,dazzling_jennings,98.70%,169.5MiB/1.907GiB,8.68%,1.79MB/36.3kB,119,0B/0B,0,10:19:36
526a1429f170,objective_mcnulty0,99.14%,190.9MiB/1.907GiB,9.78%,7.19MB/78.9kB,118,0B/0B,0,10:19:45
d309fe582a95,dazzling_jennings,90.07%,202.9MiB/1.907GiB,10.39%,7.2MB/69.8kB,119,0B/0B,0,10:19:45
526a1429f170,objective_mcnulty0,99.80%,209MiB/1.907GiB,10.70%,9.1MB/108kB,118,0B/0B,0,10:19:54
d309fe582a95,dazzling_jennings,32.37%,213.8MiB/1.907GiB,10.95%,9.09MB/98kB,119,0B/0B,0,10:19:54
526a1429f170,objective_mcnulty0,99.49%,220.7MiB/1.907GiB,11.30%,9.1MB/111kB,118,0B/0B,0,10:20:03
d309fe582a95,dazzling_jennings,100.06%,233MiB/1.907GiB,11.93%,9.09MB/100kB,119,0B/0B,0,10:20:03
526a1429f170,objective_mcnulty0,99.65%,227.1MiB/1.907GiB,11.63%,9.1MB/116kB,118,0B/262kB,0,10:20:13
d309fe582a95,dazzling_jennings,99.66%,257.2MiB/1.907GiB,13.17%,9.1MB/105kB,119,0B/262kB,0,10:20:13
