CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
ad4ce440799f,nifty_mclean,100.49%,172.9MiB/1.907GiB,8.85%,3.63MB/40.5kB,2,0B/0B,0,21:10:36
540e3d481bce,hopeful_gates8,102.00%,194.2MiB/1.907GiB,9.94%,5.9MB/76.6kB,3,0B/0B,0,21:10:36
c31ad91ec7d7,quizzical_lichterman,0.17%,200.3MiB/1.907GiB,10.26%,7.79MB/98.7kB,4,0B/0B,0,21:10:36
65f415ddcf56,quirky_swirles,52.51%,207.4MiB/1.907GiB,10.62%,7.75MB/104kB,5,0B/106kB,0,21:10:36
d9411754a51e,pensive_hypatia,101.64%,218MiB/1.907GiB,11.16%,7.77MB/104kB,6,0B/123kB,0,21:10:36
39f5e08cc59c,cranky_albattani,99.69%,226.1MiB/1.907GiB,11.58%,7.8MB/104kB,7,0B/221kB,0,21:10:36
384c63b5cafe,admiring_hermann4,0.00%,249.5MiB/1.907GiB,12.78%,7.76MB/115kB,8,0B/1.18MB,0,21:10:36
61cd448937a0,stoic_shtern,0.00%,243.1MiB/1.907GiB,12.44%,7.77MB/133kB,9,0B/1.21MB,0,21:10:36
