calculate_maxmin_seconds,clustering_time_seconds,elapsed_time_seconds,create_histogram_seconds,MAPE,MSE,R2,testing_model_seconds,train_global_model_seconds,local_training_seconds
7.78,4.77,146.04,1.0,0.0,0.0,0.0,37.18,6.53,46.24
0.6,0.0,0.0,0.0,1390.021917106624,0.6183944561541795,-4.017055651669465,0.0,1.93,20.1
1.37,0.0,0.0,0.0,42167.558909805804,0.7873313885790638,-70.01149275664258,0.0,1.22,39.67
1.31,0.0,0.0,0.0,1146.481491315376,0.603292122241549,-4.038917850975847,0.0,1.21,37.05
0.87,0.0,0.0,0.0,5241.3372379378625,0.8001548643197932,-70.84792918363881,0.0,1.27,32.85
1.35,0.0,0.0,0.0,1252.0671185903714,0.5962629335947631,-4.09327935883591,0.0,1.21,36.0
1.38,0.0,0.0,0.0,4905.821312604133,0.7709281931465031,-68.25174794922115,0.0,1.2,31.87
2.49,0.0,0.0,0.0,968.0890532391026,0.6150740369080019,-4.122489383590418,0.0,1.82,19.44
0.62,0.0,0.0,0.0,6071.4090020986805,0.8066528339100328,-70.81942194654091,0.0,3.46,31.21
0.43,0.0,0.0,0.0,1277.7501626208411,0.6169208411468786,-4.071525424949355,0.0,1.39,25.83
0.73,0.0,0.0,0.0,7386.327773606336,0.8050141986517867,-70.53430097927428,0.0,2.01,26.27
0.73,0.0,0.0,0.0,1481.4028214798273,0.6195941902659147,-3.9953728779337494,0.0,1.92,18.33
0.45,0.0,0.0,0.0,6859.382627241635,0.7929275305427653,-68.61124988283068,0.0,1.24,39.09
0.44,0.0,0.0,0.0,1119.3161220891282,0.6116645710092564,-4.01115318652269,0.0,1.62,26.01
0.43,0.0,0.0,0.0,6382.608467588548,0.7703342095295282,-65.81251889739524,0.0,1.84,18.81
0.61,0.0,0.0,0.0,1763.271308323213,0.6068728380861398,-4.143965521053108,0.0,1.93,19.14
0.43,0.0,0.0,0.0,6639.800648424122,0.7965027052064038,-68.7782046515231,0.0,1.22,34.31
