calculate_maxmin_seconds,clustering_time_seconds,elapsed_time_seconds,create_histogram_seconds,MAPE,MSE,R2,testing_model_seconds,train_global_model_seconds,local_training_seconds
7.72,4.5,88.54,1.3,0.0,0.0,0.0,3.32,5.06,34.63
0.42,0.0,0.0,0.0,924.6213863319446,0.540400900349746,-3.0923183149586446,0.0,1.69,20.94
0.6,0.0,0.0,0.0,10065.10293428768,0.6803992342012077,-59.97252462665024,0.0,1.79,21.38
0.42,0.0,0.0,0.0,1001.2155875318148,0.5239096341514956,-3.0318620037297235,0.0,2.31,20.47
2.96,0.0,0.0,0.0,4401.209858902402,0.6740985497777935,-58.78012305911256,0.0,2.31,19.45
2.83,0.0,0.0,0.0,1263.0211877464335,0.5408496108242845,-3.1230621692377065,0.0,2.4,22.15
0.43,0.0,0.0,0.0,11141.749677679842,0.6887109909424768,-59.335814811431426,0.0,1.83,20.49
0.43,0.0,0.0,0.0,850.7159831215345,0.5141949806591775,-2.9676721083966116,0.0,1.53,21.05
0.55,0.0,0.0,0.0,5012.856967547368,0.6900805256097621,-59.98991358815909,0.0,1.15,28.41
