calculate_maxmin_seconds,clustering_time_seconds,elapsed_time_seconds,create_histogram_seconds,MAPE,MSE,R2,testing_model_seconds,train_global_model_seconds,local_training_seconds
9.51,4.9,158.98,4.12,0.0,0.0,0.0,9.94,10.74,42.24
0.58,0.0,0.0,0.0,1345.3069007860356,0.6473048080631018,-4.407202632786485,0.0,4.45,31.14
0.6,0.0,0.0,0.0,6132.114318520636,0.8289234120471421,-72.14149243542268,0.0,3.95,17.64
0.6,0.0,0.0,0.0,2544.694818831566,0.6480304468779219,-4.529742888441625,0.0,3.53,20.02
0.59,0.0,0.0,0.0,5631.464608702587,0.8220184897385242,-71.69768014335567,0.0,4.51,18.5
4.47,0.0,0.0,0.0,1445.5187580063612,0.6556958371803541,-4.5326024338389175,0.0,4.56,27.54
0.6,0.0,0.0,0.0,6098.4916974036505,0.8220450130150221,-72.49407049931074,0.0,3.34,26.15
0.6,0.0,0.0,0.0,1369.0631546706504,0.6475434067924738,-4.433471953330463,0.0,3.46,17.87
0.58,0.0,0.0,0.0,5034.235740444297,0.8250042068318892,-71.4670703577983,0.0,4.6,37.18
0.45,0.0,0.0,0.0,1088.3337877909823,0.6528725121824127,-4.401898335138596,0.0,4.41,18.0
0.43,0.0,0.0,0.0,6718.8972869729,0.8208811755368114,-71.7155589979466,0.0,5.05,31.15
0.42,0.0,0.0,0.0,1414.9032492508018,0.6459777431706338,-4.388942214802046,0.0,5.35,26.75
0.43,0.0,0.0,0.0,8198.153964378303,0.8203373061464285,-71.75735084359923,0.0,6.49,31.31
0.42,0.0,0.0,0.0,1245.4647002258712,0.64278556518449,-4.374429317880766,0.0,7.75,30.89
0.7,0.0,0.0,0.0,8044.112790522925,0.8293827902536466,-72.68957678074356,0.0,3.66,16.45
0.42,0.0,0.0,0.0,1197.017649869594,0.6393797342794275,-4.352540536600144,0.0,4.94,29.77
0.6,0.0,0.0,0.0,4998.295550134911,0.8240282845280126,-71.54051660114386,0.0,4.37,18.76
