CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
25bde963efa5,boring_mcnulty0,0.00%,141.4MiB/1.907GiB,7.24%,330kB/13.8kB,2,0B/0B,0,15:08:48
5be8396c5b41,confident_swirles,0.96%,150MiB/1.907GiB,7.68%,327kB/11.8kB,3,0B/0B,0,15:08:48
04864a73a7b0,hopeful_brahmagupta,102.33%,142.2MiB/1.907GiB,7.28%,1.75MB/27.5kB,4,0B/0B,0,15:08:48
50be8a2d5be3,suspicious_raman,0.00%,160.3MiB/1.907GiB,8.21%,1.79MB/32.2kB,5,0B/0B,0,15:08:48
790ccff6a944,reverent_kowalevski,0.00%,162.1MiB/1.907GiB,8.30%,1.8MB/28.9kB,6,0B/0B,0,15:08:48
c7481ba4314e,determined_brown,102.51%,242.4MiB/1.907GiB,12.41%,12.5MB/71.2kB,7,0B/0B,0,15:08:48
2ed28c61b62a,optimistic_booth,102.68%,243.7MiB/1.907GiB,12.48%,12.4MB/49kB,8,0B/0B,0,15:08:48
54aaf1cae123,awesome_bhaskara,101.56%,241.4MiB/1.907GiB,12.36%,12.5MB/62.5kB,9,0B/0B,0,15:08:48
25bde963efa5,boring_mcnulty0,0.00%,203.5MiB/1.907GiB,10.42%,12.6MB/44.1kB,2,0B/0B,0,15:10:52
5be8396c5b41,confident_swirles,92.50%,241.5MiB/1.907GiB,12.36%,12.4MB/49.2kB,3,0B/0B,0,15:10:52
04864a73a7b0,hopeful_brahmagupta,102.76%,240.4MiB/1.907GiB,12.31%,12.4MB/53.7kB,4,0B/0B,0,15:10:52
50be8a2d5be3,suspicious_raman,0.00%,205.5MiB/1.907GiB,10.52%,12.6MB/54kB,5,0B/0B,0,15:10:52
790ccff6a944,reverent_kowalevski,0.00%,205.7MiB/1.907GiB,10.53%,12.6MB/40.5kB,6,0B/0B,0,15:10:52
c7481ba4314e,determined_brown,0.00%,202.6MiB/1.907GiB,10.37%,12.6MB/72.5kB,7,0B/0B,0,15:10:52
2ed28c61b62a,optimistic_booth,0.00%,205.4MiB/1.907GiB,10.52%,12.6MB/50.4kB,8,0B/0B,0,15:10:52
54aaf1cae123,awesome_bhaskara,0.00%,205.2MiB/1.907GiB,10.50%,12.6MB/63.7kB,9,0B/0B,0,15:10:52
25bde963efa5,boring_mcnulty0,0.00%,203.5MiB/1.907GiB,10.42%,12.6MB/44.1kB,2,0B/0B,0,15:11:50
5be8396c5b41,confident_swirles,102.70%,241.5MiB/1.907GiB,12.36%,12.4MB/49.2kB,3,0B/0B,0,15:11:50
04864a73a7b0,hopeful_brahmagupta,5.98%,203.3MiB/1.907GiB,10.41%,12.6MB/54.8kB,4,0B/0B,0,15:11:50
50be8a2d5be3,suspicious_raman,4.45%,205.5MiB/1.907GiB,10.52%,13.9MB/61.6kB,5,0B/0B,0,15:11:50
790ccff6a944,reverent_kowalevski,101.22%,196.7MiB/1.907GiB,10.07%,14MB/59.7kB,6,0B/0B,0,15:11:50
c7481ba4314e,determined_brown,0.00%,188.7MiB/1.907GiB,9.66%,14MB/79kB,7,0B/0B,0,15:11:50
2ed28c61b62a,optimistic_booth,7.77%,196.9MiB/1.907GiB,10.08%,15.8MB/86.3kB,8,0B/0B,0,15:11:50
54aaf1cae123,awesome_bhaskara,102.64%,203.3MiB/1.907GiB,10.41%,15.8MB/99.9kB,9,0B/0B,0,15:11:50
25bde963efa5,boring_mcnulty0,0.00%,204.2MiB/1.907GiB,10.46%,15.8MB/81.1kB,2,0B/1.06MB,0,15:13:17
5be8396c5b41,confident_swirles,22.96%,205.6MiB/1.907GiB,10.53%,15.8MB/86.3kB,3,0B/1.59MB,0,15:13:17
04864a73a7b0,hopeful_brahmagupta,0.00%,202.8MiB/1.907GiB,10.38%,15.8MB/90.6kB,4,0B/1.06MB,0,15:13:17
50be8a2d5be3,suspicious_raman,102.61%,213.4MiB/1.907GiB,10.93%,15.8MB/91.8kB,5,0B/1.08MB,0,15:13:17
790ccff6a944,reverent_kowalevski,99.00%,226.8MiB/1.907GiB,11.61%,15.8MB/80.5kB,6,98.3kB/115kB,0,15:13:17
c7481ba4314e,determined_brown,102.20%,229.9MiB/1.907GiB,11.77%,15.9MB/116kB,7,8.19kB/1.77MB,0,15:13:17
2ed28c61b62a,optimistic_booth,34.52%,233.2MiB/1.907GiB,11.94%,15.8MB/97.1kB,8,0B/1.9MB,0,15:13:17
54aaf1cae123,awesome_bhaskara,101.73%,240.6MiB/1.907GiB,12.32%,15.8MB/112kB,9,0B/2.17MB,0,15:13:17
25bde963efa5,boring_mcnulty0,28.95%,328.5MiB/1.907GiB,16.82%,15.8MB/1.28MB,2,0B/2.17MB,0,15:14:52
5be8396c5b41,confident_swirles,0.00%,325.4MiB/1.907GiB,16.66%,15.8MB/1.27MB,3,8.19kB/2.7MB,0,15:14:52
04864a73a7b0,hopeful_brahmagupta,0.00%,304.6MiB/1.907GiB,15.59%,15.8MB/1.31MB,4,0B/2.17MB,0,15:14:52
50be8a2d5be3,suspicious_raman,0.00%,331.7MiB/1.907GiB,16.98%,15.8MB/1.32MB,5,0B/2.17MB,0,15:14:52
790ccff6a944,reverent_kowalevski,0.00%,327MiB/1.907GiB,16.74%,15.8MB/1.27MB,6,98.3kB/1.11MB,0,15:14:52
c7481ba4314e,determined_brown,0.00%,327.8MiB/1.907GiB,16.78%,15.9MB/1.3MB,7,8.19kB/2.17MB,0,15:14:52
2ed28c61b62a,optimistic_booth,0.00%,332.8MiB/1.907GiB,17.04%,15.8MB/1.27MB,8,0B/1.9MB,0,15:14:52
54aaf1cae123,awesome_bhaskara,0.00%,329.9MiB/1.907GiB,16.89%,15.8MB/1.3MB,9,0B/2.17MB,0,15:14:52
04864a73a7b0,hopeful_brahmagupta,0.00%,15.1MiB/1.907GiB,0.77%,15.8MB/1.31MB,4,0B/2.17MB,0,15:19:37
50be8a2d5be3,suspicious_raman,0.00%,331.7MiB/1.907GiB,16.98%,15.8MB/1.32MB,5,0B/2.17MB,0,15:19:37
790ccff6a944,reverent_kowalevski,0.00%,327MiB/1.907GiB,16.74%,15.8MB/1.27MB,6,98.3kB/1.11MB,0,15:19:37
c7481ba4314e,determined_brown,0.00%,327.8MiB/1.907GiB,16.78%,15.9MB/1.3MB,7,8.19kB/2.17MB,0,15:19:37
2ed28c61b62a,optimistic_booth,0.00%,332.8MiB/1.907GiB,17.04%,15.8MB/1.27MB,8,0B/1.9MB,0,15:19:37
