calculate_maxmin_seconds,clustering_time_seconds,elapsed_time_seconds,create_histogram_seconds,MAPE,MSE,R2,testing_model_seconds,train_global_model_seconds,local_training_seconds
6.01,4.61,60.98,0.96,0.0,0.0,0.0,2.39,4.08,20.47
0.59,0.0,0.0,0.0,1096.6221294187171,0.4347135901075525,-2.1956617749432055,0.0,1.23,14.76
0.76,0.0,0.0,0.0,6178.022359399237,0.565885467866688,-49.04349666216843,0.0,1.23,14.81
0.61,0.0,0.0,0.0,998.3823432200486,0.4480554246862,-2.238645855180908,0.0,1.34,14.73
0.61,0.0,0.0,0.0,5067.377184348216,0.5447612785120562,-47.501596523617806,0.0,1.25,15.57
0.58,0.0,0.0,0.0,1210.779470863277,0.4339590963437606,-2.1632776792774777,0.0,1.28,14.88
0.59,0.0,0.0,0.0,5025.9042496199745,0.5719927342289503,-49.65285223581909,0.0,1.23,14.76
0.58,0.0,0.0,0.0,1081.4539955441692,0.4291148810878973,-2.121406626238171,0.0,1.25,15.26
0.73,0.0,0.0,0.0,4411.4243499471695,0.5607611159872531,-47.98015886185245,0.0,1.27,14.6
0.44,0.0,0.0,0.0,914.7626599419405,0.4313421704233848,-2.176155946230021,0.0,1.22,14.42
0.45,0.0,0.0,0.0,4327.227219811316,0.5608055635836641,-49.513453832626105,0.0,1.21,14.1
0.44,0.0,0.0,0.0,1122.663413838457,0.4308642048886675,-2.1597864444745833,0.0,1.22,14.66
0.4,0.0,0.0,0.0,5325.563563693551,0.5579619802742581,-48.023669626203855,0.0,1.26,14.84
0.57,0.0,0.0,0.0,1386.1029926859214,0.4332804643422836,-2.2520383630858616,0.0,1.23,14.65
0.47,0.0,0.0,0.0,3941.768279421012,0.5630621655920374,-48.91786463699426,0.0,1.23,14.86
0.68,0.0,0.0,0.0,966.6953700834608,0.4322934895723808,-2.1222966781448274,0.0,1.24,14.9
0.42,0.0,0.0,0.0,4533.098359749216,0.5613972165695832,-49.26936465227751,0.0,1.22,14.92
