CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
55b884b770c2,trusting_tereshkova,94.19%,194.1MiB/1.907GiB,9.94%,7.31MB/90.6kB,2,0B/0B,0,03:56:29
cae9880877ba,determined_ride,33.29%,212.1MiB/1.907GiB,10.86%,7.33MB/85.9kB,3,0B/795kB,0,03:56:29
578d9a50ef77,sad_neumann,0.00%,211.4MiB/1.907GiB,10.82%,7.39MB/142kB,4,0B/795kB,0,03:56:29
d7f500e262cf,pensive_bell5,88.39%,217.2MiB/1.907GiB,11.12%,7.35MB/118kB,5,0B/1.08MB,0,03:56:29
178dd06e3d40,happy_newton,102.84%,237.6MiB/1.907GiB,12.16%,7.36MB/127kB,6,0B/1.18MB,0,03:56:29
dcda9914eab1,dazzling_hopper,0.00%,231MiB/1.907GiB,11.83%,7.36MB/134kB,7,0B/1.9MB,0,03:56:29
ef7f6f82766d,zealous_boyd5,98.53%,235.2MiB/1.907GiB,12.04%,7.37MB/165kB,8,0B/2.17MB,0,03:56:29
e8048024ba49,boring_galileo,0.00%,326.3MiB/1.907GiB,16.71%,7.38MB/1.32MB,9,0B/1.9MB,0,03:56:29
e8048024ba49,boring_galileo,0.00%,326.2MiB/1.907GiB,16.70%,7.38MB/1.32MB,9,0B/1.9MB,0,03:57:43
