CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
d72a84fb84e2,serene_bhaskara,110.34%,162.3MiB/1.907GiB,8.31%,1.76MB/35.4kB,2,0B/0B,0,01:08:56
dce22e3496eb,elegant_shaw,0.00%,180.2MiB/1.907GiB,9.22%,4.14MB/43.8kB,3,0B/0B,0,01:08:56
bf4bea6222b3,elastic_lamarr,46.30%,190.4MiB/1.907GiB,9.75%,5.67MB/87.6kB,4,0B/0B,0,01:08:56
a7b6cd6e1e17,priceless_mayer,14.95%,197.4MiB/1.907GiB,10.11%,7.3MB/85.3kB,5,0B/0B,0,01:08:56
69fc2c5c3481,cranky_brown,23.79%,199.2MiB/1.907GiB,10.20%,7.34MB/99.4kB,6,0B/0B,0,01:08:56
c46c1c787e1e,silly_lamport,0.00%,227.1MiB/1.907GiB,11.63%,7.35MB/112kB,7,0B/1.06MB,0,01:08:56
bc493c3a069a,mystifying_yonath,100.63%,220.4MiB/1.907GiB,11.29%,7.34MB/124kB,8,0B/1.06MB,0,01:08:56
b68610f8795a,elated_bhabha,102.89%,222.7MiB/1.907GiB,11.40%,7.34MB/103kB,9,0B/1.18MB,0,01:08:56
