CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
f7ff180d97ee,modest_goldberg,68.21%,200.6MiB/1.907GiB,10.27%,7.34MB/94.3kB,2,0B/0B,0,03:43:26
852cdbc494fc,happy_hypatia,0.00%,208.8MiB/1.907GiB,10.69%,7.35MB/109kB,3,0B/1.06MB,0,03:43:26
ad9bf8af1cda,wizardly_davinci,99.74%,219.8MiB/1.907GiB,11.25%,7.36MB/101kB,4,0B/811kB,0,03:43:26
8b8779765080,reverent_borg,100.06%,229.2MiB/1.907GiB,11.74%,7.35MB/104kB,5,0B/213kB,0,03:43:26
7296e89ed4da,nifty_sammet0,0.00%,242MiB/1.907GiB,12.39%,7.35MB/98kB,6,0B/2.17MB,0,03:43:26
1599a71ce1e1,quizzical_murdock,11.32%,305MiB/1.907GiB,15.61%,7.35MB/250kB,7,0B/2.17MB,0,03:43:26
68b75f358474,goofy_bartik,0.13%,318.7MiB/1.907GiB,16.32%,7.36MB/1.28MB,8,0B/2.17MB,0,03:43:26
e2aa8a931daf,quirky_ride,0.00%,323.3MiB/1.907GiB,16.55%,7.35MB/1.28MB,9,0B/2.17MB,0,03:43:26
