CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
a974f2526503,youthful_easley,0.00%,156.5MiB/1.907GiB,8.01%,1.8MB/44.7kB,2,0B/0B,0,11:28:21
afddbddc5aad,modest_almeida9,68.77%,180.2MiB/1.907GiB,9.23%,4.17MB/72.8kB,3,0B/0B,0,11:28:21
b60db214fef9,confident_mcclintock,103.24%,193MiB/1.907GiB,9.88%,5.46MB/78.5kB,4,0B/0B,0,11:28:21
d9e763b53f59,stupefied_rosalind,101.57%,192.7MiB/1.907GiB,9.87%,5.72MB/95.5kB,5,0B/0B,0,11:28:21
15610ad8aed9,distracted_hypatia,7.48%,197.3MiB/1.907GiB,10.10%,7.34MB/106kB,6,0B/0B,0,11:28:21
5d869808a4c9,confident_poitras,32.49%,215.6MiB/1.907GiB,11.04%,7.37MB/103kB,7,0B/0B,0,11:28:21
f17e22ddfedd,youthful_kirch,0.00%,210.6MiB/1.907GiB,10.78%,7.33MB/86.5kB,8,0B/0B,0,11:28:21
61cc4dd14235,vigorous_jennings7,100.86%,217.9MiB/1.907GiB,11.15%,7.37MB/107kB,9,0B/1.08MB,0,11:28:21
f8bc3dda45ec,flamboyant_torvalds0,102.10%,232.3MiB/1.907GiB,11.89%,7.33MB/95.9kB,10,0B/32.8kB,0,11:28:21
9745fe0003b2,clever_euclid,101.09%,224.3MiB/1.907GiB,11.49%,7.37MB/113kB,11,0B/426kB,0,11:28:21
7b343b841f0d,happy_meitner,103.50%,225.8MiB/1.907GiB,11.56%,7.36MB/142kB,12,0B/819kB,0,11:28:21
2bff58363938,awesome_saha0,99.90%,234.3MiB/1.907GiB,12.00%,7.39MB/164kB,13,0B/1.02MB,0,11:28:21
736c8dba1b63,lucid_neumann,93.00%,412.4MiB/1.907GiB,21.11%,7.37MB/2.34MB,14,0B/1.02MB,0,11:28:21
a02ba1013325,awesome_ptolemy,0.00%,398.1MiB/1.907GiB,20.38%,7.43MB/2.34MB,15,0B/1.02MB,0,11:28:21
8d91840932d3,vigorous_wing8,0.03%,396.7MiB/1.907GiB,20.31%,7.38MB/2.34MB,16,0B/1.02MB,0,11:28:21
96760f443fd2,gallant_bardeen,0.00%,409.1MiB/1.907GiB,20.95%,7.39MB/2.35MB,17,0B/1.02MB,0,11:28:21
