CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
e703de32e11b,eager_saha,99.44%,191.6MiB/1.907GiB,9.81%,5.83MB/70.9kB,2,0B/0B,0,17:21:06
972f93e63732,jovial_varahamihira,99.93%,203.4MiB/1.907GiB,10.41%,7.66MB/84.5kB,3,0B/0B,0,17:21:06
7c7da1e4b209,happy_tereshkova,0.00%,207.6MiB/1.907GiB,10.63%,7.67MB/90.7kB,4,0B/4.15MB,0,17:21:06
59a65bf04f04,agitated_pike,99.60%,227.5MiB/1.907GiB,11.65%,7.69MB/105kB,5,0B/4.16MB,0,17:21:06
0de488fcda45,elated_kepler,99.50%,232.8MiB/1.907GiB,11.92%,7.68MB/99.5kB,6,106kB/6.42MB,0,17:21:06
eadd1bc935ca,pedantic_mcclintock,88.75%,238.3MiB/1.907GiB,12.20%,7.68MB/95.4kB,7,53.2kB/7.32MB,0,17:21:06
21be0b044e8e,jolly_roentgen,72.23%,815.5MiB/1.907GiB,41.75%,7.68MB/8.86MB,8,0B/5.25MB,0,17:21:06
41b643d518cd,elastic_engelbart,0.00%,765.9MiB/1.907GiB,39.21%,7.71MB/8.89MB,9,0B/5.25MB,0,17:21:06
c212e2bdf125,flamboyant_fermat,0.00%,797.2MiB/1.907GiB,40.82%,7.72MB/8.91MB,10,463kB/1.09MB,0,17:21:06
beb8294ad393,admiring_hermann,0.00%,786MiB/1.907GiB,40.24%,7.7MB/8.9MB,11,12.9MB/1.02MB,0,17:21:06
8f4ed34ce758,mystifying_joliot7,0.00%,813.9MiB/1.907GiB,41.67%,7.71MB/8.88MB,12,270kB/1.09MB,0,17:21:06
46e5dff5b05f,eloquent_williams,0.00%,814MiB/1.907GiB,41.68%,7.73MB/8.89MB,13,0B/1.02MB,0,17:21:06
329b2db291fd,reverent_hugle,0.00%,775.7MiB/1.907GiB,39.72%,7.71MB/8.9MB,14,10.3MB/1.02MB,0,17:21:06
6715e3e01b3e,frosty_hoover,0.03%,804.2MiB/1.907GiB,41.17%,7.69MB/8.87MB,15,0B/1.02MB,0,17:21:06
05883ae2a2cb,awesome_bartik,0.00%,811.7MiB/1.907GiB,41.56%,7.73MB/8.87MB,16,0B/1.02MB,0,17:21:06
9db93a4be54d,quizzical_poitras,0.00%,802.7MiB/1.907GiB,41.10%,7.69MB/8.88MB,17,0B/1.02MB,0,17:21:06
