CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
369d0b22d504,boring_knuth,53.63%,184.6MiB/1.907GiB,9.45%,4.27MB/61.9kB,2,0B/0B,0,09:37:58
626df35c3fe5,youthful_hodgkin,82.59%,192.4MiB/1.907GiB,9.85%,5.92MB/61.5kB,3,0B/0B,0,09:37:58
4e20d5822a69,flamboyant_noyce,3.52%,200.4MiB/1.907GiB,10.26%,7.77MB/89.4kB,4,0B/0B,0,09:37:58
a5659319b3b4,determined_bell,0.00%,208.3MiB/1.907GiB,10.66%,7.77MB/104kB,5,8.19kB/795kB,0,09:37:58
033901e50888,pensive_benz4,0.00%,211.8MiB/1.907GiB,10.85%,7.8MB/111kB,6,0B/1.59MB,0,09:37:58
20acbe186e27,agitated_mestorf,0.00%,218.3MiB/1.907GiB,11.17%,7.76MB/106kB,7,41kB/1.59MB,0,09:37:58
33704253aa84,condescending_bhaskara,101.62%,226.5MiB/1.907GiB,11.60%,7.79MB/122kB,8,0B/1.08MB,0,09:37:58
b32f74a6803a,elated_saha,102.48%,236.2MiB/1.907GiB,12.09%,7.79MB/95.9kB,9,0B/1.18MB,0,09:37:58
ca676e005889,jolly_hodgkin,0.00%,224MiB/1.907GiB,11.47%,7.85MB/108kB,10,0B/1.02MB,0,09:37:58
7118fd6aad17,stupefied_tereshkova,0.00%,232.4MiB/1.907GiB,11.90%,7.79MB/115kB,11,0B/1.02MB,0,09:37:58
c10427c58be9,eloquent_kilby,0.00%,326.1MiB/1.907GiB,16.70%,7.82MB/139kB,12,0B/1.02MB,0,09:37:58
5aad013188be,naughty_kirch,0.00%,411.1MiB/1.907GiB,21.05%,7.82MB/2.34MB,13,0B/1.09MB,0,09:37:58
e8fc823fb17a,reverent_beaver,0.24%,420.2MiB/1.907GiB,21.52%,7.79MB/2.34MB,14,0B/1.09MB,0,09:37:58
a9918a255ce2,loving_zhukovsky,0.00%,420.9MiB/1.907GiB,21.55%,7.83MB/2.58MB,15,0B/991kB,0,09:37:58
7afb0b8a15b8,friendly_elbakyan1,0.03%,415.2MiB/1.907GiB,21.26%,7.8MB/2.33MB,16,8.19kB/1.02MB,0,09:37:58
307973c0e905,confident_dijkstra,0.02%,394.8MiB/1.907GiB,20.21%,7.8MB/2.33MB,17,0B/991kB,0,09:37:58
