calculate_maxmin_seconds,clustering_time_seconds,elapsed_time_seconds,create_histogram_seconds,MAPE,MSE,R2,testing_model_seconds,train_global_model_seconds,local_training_seconds
15.79,15.58,279.74,9.09,0.0,0.0,0.0,9.64,12.28,85.04
4.11,0.0,0.0,0.0,987.3691863543686,0.5884928665313813,-3.792593758991713,0.0,1.51,64.61
0.56,0.0,0.0,0.0,6674.9621628803225,0.7421065856014283,-65.11493905711102,0.0,1.2,20.23
1.0,0.0,0.0,0.0,1432.914504929433,0.5780032094213968,-3.630230537004016,0.0,1.59,74.18
0.59,0.0,0.0,0.0,6283.447922628978,0.7510719867237889,-66.23376639505256,0.0,1.53,22.27
0.58,0.0,0.0,0.0,1061.454505700979,0.5888260593523128,-3.689629260957764,0.0,1.67,66.94
0.58,0.0,0.0,0.0,4972.323881824734,0.7530886997079004,-64.79793017182884,0.0,1.64,75.5
0.66,0.0,0.0,0.0,1468.6534124687273,0.5750640560723157,-3.688145439263872,0.0,1.58,64.23
5.1,0.0,0.0,0.0,5000.939890178213,0.7291058991597273,-62.64556366306649,0.0,1.14,78.5
0.43,0.0,0.0,0.0,1490.9356434591075,0.5851230535692366,-3.7413423476044096,0.0,1.41,72.29
0.39,0.0,0.0,0.0,4232.585364420249,0.7610208192543755,-65.86651376665232,0.0,1.33,20.47
0.44,0.0,0.0,0.0,1200.5499018802534,0.584250573974395,-3.6571461107918664,0.0,1.32,21.06
0.43,0.0,0.0,0.0,5615.016330797632,0.7489729773377781,-65.7883909166734,0.0,3.57,65.3
0.42,0.0,0.0,0.0,1201.2167848389886,0.5807125010194839,-3.684047017414489,0.0,1.4,27.98
0.44,0.0,0.0,0.0,5127.120200944284,0.7627751659285245,-66.01074944238295,0.0,1.27,67.0
2.73,0.0,0.0,0.0,1206.568685428747,0.5877247278412919,-3.796407519044649,0.0,1.51,65.92
0.43,0.0,0.0,0.0,5096.381683781064,0.7418465787416778,-66.11454574290214,0.0,1.48,25.09
