CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
e54c15518647,friendly_villani,91.85%,183.9MiB/1.907GiB,9.41%,3.64MB/55.3kB,2,0B/0B,0,23:58:46
700e9b2fcad7,optimistic_booth,93.48%,188.7MiB/1.907GiB,9.66%,5.89MB/60.3kB,3,0B/0B,0,23:58:46
f526f1eef8b9,friendly_mestorf,59.03%,214.4MiB/1.907GiB,10.98%,7.72MB/68.3kB,4,0B/0B,0,23:58:46
de8064405979,boring_bose,0.00%,205.1MiB/1.907GiB,10.50%,7.76MB/79.3kB,5,0B/106kB,0,23:58:46
35eea26e4e88,pensive_kepler,0.00%,223.7MiB/1.907GiB,11.45%,7.82MB/128kB,6,0B/106kB,0,23:58:46
8862a8f2bf24,serene_wing,99.64%,223MiB/1.907GiB,11.42%,7.76MB/99.1kB,7,0B/123kB,0,23:58:46
ebe6b99ffa55,kind_lamport,100.07%,237.2MiB/1.907GiB,12.14%,7.79MB/92.7kB,8,0B/221kB,0,23:58:46
eddca1e21587,distracted_chebyshev,0.00%,247.7MiB/1.907GiB,12.68%,7.79MB/99.4kB,9,0B/1.21MB,0,23:58:46
