CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
36599b1318a8,condescending_keller,102.27%,192.8MiB/1.907GiB,9.87%,4.26MB/61.5kB,2,0B/0B,0,13:54:50
352c2e0fbd78,gracious_lumiere,0.00%,197MiB/1.907GiB,10.09%,4.26MB/61.7kB,3,0B/0B,0,13:54:50
6dbd1f3594a9,amazing_curie,0.00%,186.3MiB/1.907GiB,9.54%,4.26MB/55.4kB,4,0B/0B,0,13:54:50
5d2f483806ff,cocky_wing,0.00%,182.4MiB/1.907GiB,9.34%,4.23MB/53.5kB,5,0B/0B,0,13:54:50
0bb04a6dc0fe,festive_heisenberg,0.00%,185.3MiB/1.907GiB,9.49%,4.22MB/45.8kB,6,0B/0B,0,13:54:50
aa1ff4123687,suspicious_meitner0,78.39%,194.7MiB/1.907GiB,9.97%,5.89MB/72.1kB,7,0B/0B,0,13:54:50
5bd93c72c648,wonderful_proskuriakova,0.00%,200MiB/1.907GiB,10.24%,6.16MB/96.6kB,8,0B/0B,0,13:54:50
0b674b11d5e2,mystifying_mirzakhani,0.00%,196.6MiB/1.907GiB,10.07%,6.1MB/72.1kB,9,0B/0B,0,13:54:50
e1783f5616c8,thirsty_beaver,0.00%,200.6MiB/1.907GiB,10.27%,7.73MB/90.8kB,10,0B/0B,0,13:54:50
a313515973ed,upbeat_nobel,0.00%,203.4MiB/1.907GiB,10.41%,7.77MB/89.9kB,11,0B/0B,0,13:54:50
37af883f7813,boring_chatterjee,102.90%,201.6MiB/1.907GiB,10.32%,7.78MB/86.7kB,12,0B/0B,0,13:54:50
3118aac6b771,heuristic_snyder7,102.97%,209.4MiB/1.907GiB,10.72%,7.79MB/100kB,13,0B/0B,0,13:54:50
729a83d00b4e,naughty_wiles,103.40%,206.1MiB/1.907GiB,10.55%,7.77MB/91.1kB,14,16.4kB/0B,0,13:54:50
c0d1a54b35ab,laughing_hoover,0.00%,211.9MiB/1.907GiB,10.85%,7.78MB/130kB,15,0B/0B,0,13:54:50
15e693fbc4fe,elated_wright,0.00%,212.5MiB/1.907GiB,10.88%,7.77MB/83.1kB,16,0B/0B,0,13:54:50
000b196df5e0,tender_snyder,0.00%,218.4MiB/1.907GiB,11.18%,7.79MB/103kB,17,0B/0B,0,13:54:50
36599b1318a8,condescending_keller,103.83%,246.9MiB/1.907GiB,12.64%,7.8MB/101kB,2,0B/115kB,0,13:57:31
352c2e0fbd78,gracious_lumiere,0.00%,238.9MiB/1.907GiB,12.23%,7.82MB/110kB,3,0B/1.11MB,0,13:57:31
6dbd1f3594a9,amazing_curie,0.00%,227.2MiB/1.907GiB,11.63%,7.81MB/102kB,4,0B/2.17MB,0,13:57:31
5d2f483806ff,cocky_wing,50.21%,226MiB/1.907GiB,11.57%,7.77MB/107kB,5,0B/2.17MB,0,13:57:31
0bb04a6dc0fe,festive_heisenberg,0.00%,229.1MiB/1.907GiB,11.73%,7.77MB/95kB,6,0B/2.2MB,0,13:57:31
aa1ff4123687,suspicious_meitner0,90.46%,241.2MiB/1.907GiB,12.35%,7.8MB/111kB,7,0B/2.24MB,0,13:57:31
5bd93c72c648,wonderful_proskuriakova,103.89%,242MiB/1.907GiB,12.39%,7.85MB/130kB,8,0B/2.17MB,0,13:57:31
0b674b11d5e2,mystifying_mirzakhani,0.00%,327.3MiB/1.907GiB,16.76%,7.78MB/115kB,9,0B/2.21MB,0,13:57:31
e1783f5616c8,thirsty_beaver,36.89%,413.2MiB/1.907GiB,21.16%,7.8MB/2.35MB,10,0B/1.05MB,0,13:57:31
a313515973ed,upbeat_nobel,1.24%,417.2MiB/1.907GiB,21.36%,7.84MB/2.33MB,11,0B/1.1MB,0,13:57:31
37af883f7813,boring_chatterjee,0.00%,397.9MiB/1.907GiB,20.37%,7.82MB/2.33MB,12,0B/1.11MB,0,13:57:31
3118aac6b771,heuristic_snyder7,0.00%,420.2MiB/1.907GiB,21.51%,7.83MB/2.36MB,13,0B/1.11MB,0,13:57:31
729a83d00b4e,naughty_wiles,0.00%,398.6MiB/1.907GiB,20.41%,7.8MB/2.33MB,14,16.4kB/1.11MB,0,13:57:31
c0d1a54b35ab,laughing_hoover,0.00%,399MiB/1.907GiB,20.43%,7.81MB/2.36MB,15,0B/1.16MB,0,13:57:31
15e693fbc4fe,elated_wright,0.00%,388.9MiB/1.907GiB,19.91%,7.8MB/2.35MB,16,0B/1.03MB,0,13:57:31
000b196df5e0,tender_snyder,0.00%,405.3MiB/1.907GiB,20.75%,7.82MB/2.34MB,17,0B/1.02MB,0,13:57:31
