calculate_maxmin_seconds,clustering_time_seconds,elapsed_time_seconds,create_histogram_seconds,MAPE,MSE,R2,testing_model_seconds,train_global_model_seconds,local_training_seconds
7.43,4.73,106.08,1.44,0.0,0.0,0.0,7.84,19.28,26.99
1.23,0.0,0.0,0.0,949.711809786812,0.620474853518106,-4.092912652119324,0.0,1.22,18.72
1.8,0.0,0.0,0.0,10739.658957701493,0.8096698005528852,-70.53730559563331,0.0,1.24,20.21
0.77,0.0,0.0,0.0,2210.664727209328,0.636493182320402,-4.436322107222364,0.0,1.28,17.22
1.05,0.0,0.0,0.0,4792.627632319109,0.8134794486210819,-70.98149675927597,0.0,12.74,16.4
1.01,0.0,0.0,0.0,1047.321600177199,0.6279821795032079,-4.215738850617816,0.0,1.32,18.61
0.89,0.0,0.0,0.0,8961.65831369431,0.8058046263470263,-69.10625895082988,0.0,1.23,17.75
0.82,0.0,0.0,0.0,1038.9971756104078,0.6372805477713677,-4.341506634129479,0.0,8.85,15.15
1.0,0.0,0.0,0.0,4289.2708187475955,0.8130378575379101,-69.66833844036991,0.0,9.64,16.87
0.57,0.0,0.0,0.0,2244.5741922656543,0.6475285406599212,-4.48922670833183,0.0,14.34,14.57
0.54,0.0,0.0,0.0,4826.310800574912,0.8222235217901191,-70.94702478234744,0.0,14.27,14.83
1.62,0.0,0.0,0.0,1056.2437471491537,0.6326511885544164,-4.286128847581555,0.0,9.39,14.83
1.82,0.0,0.0,0.0,4603.099612197293,0.8028643792680965,-70.27760559441968,0.0,1.3,18.56
0.49,0.0,0.0,0.0,1284.6362555076666,0.6413546320977471,-4.468892630393619,0.0,12.34,15.19
0.74,0.0,0.0,0.0,6082.320329830324,0.815943356061159,-71.93851810517815,0.0,3.04,14.97
0.58,0.0,0.0,0.0,1253.5073203823922,0.6155027950184124,-4.201759888238997,0.0,13.93,15.33
0.68,0.0,0.0,0.0,5454.111770157273,0.8074413010340217,-70.21387665651922,0.0,1.14,18.76
