CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
59760c7d12aa,gallant_agnesi,93.66%,148.9MiB/1.907GiB,7.62%,1.75MB/29.1kB,2,0B/0B,0,17:49:40
cc6e5c674f57,nifty_haibt9,98.75%,241.4MiB/1.907GiB,12.36%,12.4MB/40.2kB,3,0B/0B,0,17:49:40
56f896a97b79,serene_darwin9,99.65%,245.6MiB/1.907GiB,12.57%,12.5MB/66.9kB,4,0B/0B,0,17:49:40
7514726fc3ce,serene_bassi,100.02%,241.5MiB/1.907GiB,12.37%,12.5MB/58.8kB,5,0B/0B,0,17:49:40
84b32713118b,reverent_kare,100.05%,251.7MiB/1.907GiB,12.89%,12.5MB/74.4kB,6,0B/0B,0,17:49:40
9b995365064f,reverent_mestorf,0.00%,202.2MiB/1.907GiB,10.35%,12.6MB/55.7kB,7,0B/0B,0,17:49:40
897e5546289f,vigilant_edison,101.84%,196.4MiB/1.907GiB,10.06%,13.9MB/85.1kB,8,0B/0B,0,17:49:40
21f1fba2b7f3,romantic_stonebraker8,101.57%,192.5MiB/1.907GiB,9.86%,14MB/77.6kB,9,0B/0B,0,17:49:40
59760c7d12aa,gallant_agnesi,0.00%,193.3MiB/1.907GiB,9.90%,14.1MB/96kB,2,0B/0B,0,17:50:54
cc6e5c674f57,nifty_haibt9,0.91%,194.1MiB/1.907GiB,9.94%,15.7MB/72.8kB,3,0B/0B,0,17:50:54
56f896a97b79,serene_darwin9,103.02%,205.3MiB/1.907GiB,10.51%,15.8MB/106kB,4,0B/1.06MB,0,17:50:54
7514726fc3ce,serene_bassi,0.00%,206.3MiB/1.907GiB,10.56%,15.8MB/120kB,5,0B/1.06MB,0,17:50:54
84b32713118b,reverent_kare,99.56%,216.7MiB/1.907GiB,11.09%,15.8MB/115kB,6,8.19kB/1.61MB,0,17:50:54
9b995365064f,reverent_mestorf,100.01%,229.5MiB/1.907GiB,11.75%,15.8MB/98.7kB,7,0B/1.7MB,0,17:50:54
897e5546289f,vigilant_edison,108.27%,237.2MiB/1.907GiB,12.15%,15.8MB/135kB,8,0B/2.29MB,0,17:50:54
21f1fba2b7f3,romantic_stonebraker8,0.00%,232.6MiB/1.907GiB,11.91%,15.8MB/125kB,9,0B/2.18MB,0,17:50:54
59760c7d12aa,gallant_agnesi,108.35%,287.5MiB/1.907GiB,14.72%,15.8MB/150kB,2,0B/1.11MB,0,17:51:57
cc6e5c674f57,nifty_haibt9,0.00%,328.6MiB/1.907GiB,16.83%,15.8MB/1.34MB,3,0B/1.11MB,0,17:51:57
56f896a97b79,serene_darwin9,0.00%,331MiB/1.907GiB,16.95%,15.8MB/1.3MB,4,0B/2.17MB,0,17:51:57
7514726fc3ce,serene_bassi,0.00%,329.1MiB/1.907GiB,16.85%,15.8MB/1.32MB,5,0B/2.17MB,0,17:51:57
84b32713118b,reverent_kare,0.21%,329.5MiB/1.907GiB,16.87%,15.9MB/1.31MB,6,8.19kB/2.7MB,0,17:51:57
9b995365064f,reverent_mestorf,0.00%,326.8MiB/1.907GiB,16.73%,15.8MB/1.32MB,7,0B/2.7MB,0,17:51:57
897e5546289f,vigilant_edison,0.00%,334.4MiB/1.907GiB,17.12%,15.8MB/1.32MB,8,0B/2.7MB,0,17:51:57
21f1fba2b7f3,romantic_stonebraker8,0.00%,330.2MiB/1.907GiB,16.91%,15.8MB/1.3MB,9,0B/2.18MB,0,17:51:57
56f896a97b79,serene_darwin9,0.00%,331MiB/1.907GiB,16.95%,15.8MB/1.3MB,4,0B/2.17MB,0,17:53:26
7514726fc3ce,serene_bassi,0.00%,329.1MiB/1.907GiB,16.85%,15.8MB/1.32MB,5,0B/2.17MB,0,17:53:26
84b32713118b,reverent_kare,0.00%,329.5MiB/1.907GiB,16.87%,15.9MB/1.31MB,6,8.19kB/2.7MB,0,17:53:26
9b995365064f,reverent_mestorf,0.00%,326.8MiB/1.907GiB,16.73%,15.8MB/1.32MB,7,0B/2.7MB,0,17:53:26
897e5546289f,vigilant_edison,0.00%,334.4MiB/1.907GiB,17.12%,15.8MB/1.32MB,8,0B/2.7MB,0,17:53:26
21f1fba2b7f3,romantic_stonebraker8,0.00%,330.2MiB/1.907GiB,16.91%,15.8MB/1.3MB,9,0B/2.18MB,0,17:53:26
84b32713118b,reverent_kare,0.00%,329.5MiB/1.907GiB,16.87%,15.9MB/1.31MB,6,8.19kB/2.7MB,0,17:54:24
9b995365064f,reverent_mestorf,0.00%,326.8MiB/1.907GiB,16.73%,15.8MB/1.32MB,7,0B/2.7MB,0,17:54:24
897e5546289f,vigilant_edison,0.00%,334.4MiB/1.907GiB,17.12%,15.8MB/1.32MB,8,0B/2.7MB,0,17:54:24
21f1fba2b7f3,romantic_stonebraker8,0.00%,330.2MiB/1.907GiB,16.91%,15.8MB/1.3MB,9,0B/2.18MB,0,17:54:24
897e5546289f,vigilant_edison,0.00%,334.4MiB/1.907GiB,17.12%,15.8MB/1.32MB,8,0B/2.7MB,0,17:55:10
21f1fba2b7f3,romantic_stonebraker8,0.00%,330.2MiB/1.907GiB,16.91%,15.8MB/1.3MB,9,0B/2.18MB,0,17:55:10
