CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
bebe21c5a32e,romantic_wilson,0.00%,162.6MiB/1.907GiB,8.33%,1.98MB/31.2kB,2,0B/0B,0,16:45:36
9d73320ca647,optimistic_hoover,0.00%,180.8MiB/1.907GiB,9.26%,4.18MB/64.2kB,3,0B/0B,0,16:45:36
0356ce13618d,adoring_poitras,0.00%,178MiB/1.907GiB,9.12%,4.2MB/66.9kB,4,0B/0B,0,16:45:36
c673c571d4bb,nostalgic_lumiere,55.83%,179.7MiB/1.907GiB,9.20%,4.15MB/55.8kB,5,0B/0B,0,16:45:36
4498cdeb5329,determined_kalam,0.00%,190.1MiB/1.907GiB,9.73%,5.68MB/97.6kB,6,0B/0B,0,16:45:36
f9fcb39e5f32,upbeat_visvesvaraya,0.00%,191.4MiB/1.907GiB,9.80%,5.69MB/98.7kB,7,0B/0B,0,16:45:36
89e685729ccc,romantic_curie,0.00%,195.4MiB/1.907GiB,10.01%,5.66MB/87.2kB,8,0B/0B,0,16:45:36
d45cb5a438d6,infallible_spence,0.96%,194.5MiB/1.907GiB,9.96%,7.3MB/119kB,9,0B/0B,0,16:45:36
bebe21c5a32e,romantic_wilson,104.40%,208.7MiB/1.907GiB,10.69%,7.35MB/105kB,2,0B/795kB,0,16:47:03
9d73320ca647,optimistic_hoover,0.00%,208.6MiB/1.907GiB,10.68%,7.36MB/103kB,3,0B/795kB,0,16:47:03
0356ce13618d,adoring_poitras,103.41%,214MiB/1.907GiB,10.96%,7.39MB/105kB,4,0B/795kB,0,16:47:03
c673c571d4bb,nostalgic_lumiere,101.48%,217.9MiB/1.907GiB,11.15%,7.4MB/121kB,5,0B/16.4kB,0,16:47:03
4498cdeb5329,determined_kalam,0.00%,223.9MiB/1.907GiB,11.46%,7.35MB/130kB,6,0B/1.9MB,0,16:47:03
f9fcb39e5f32,upbeat_visvesvaraya,0.00%,225MiB/1.907GiB,11.52%,7.35MB/133kB,7,0B/1.9MB,0,16:47:03
89e685729ccc,romantic_curie,102.45%,239.2MiB/1.907GiB,12.25%,7.37MB/126kB,8,0B/1.18MB,0,16:47:03
d45cb5a438d6,infallible_spence,0.00%,223.3MiB/1.907GiB,11.43%,7.34MB/134kB,9,0B/1.9MB,0,16:47:03
bebe21c5a32e,romantic_wilson,0.00%,285MiB/1.907GiB,14.59%,7.36MB/126kB,2,0B/1.9MB,0,16:48:20
9d73320ca647,optimistic_hoover,104.19%,239.2MiB/1.907GiB,12.25%,7.37MB/114kB,3,0B/1.9MB,0,16:48:20
0356ce13618d,adoring_poitras,0.00%,318.9MiB/1.907GiB,16.33%,7.41MB/1.3MB,4,0B/1.9MB,0,16:48:20
c673c571d4bb,nostalgic_lumiere,0.00%,324.8MiB/1.907GiB,16.63%,7.42MB/1.31MB,5,0B/1.11MB,0,16:48:20
4498cdeb5329,determined_kalam,0.00%,320.9MiB/1.907GiB,16.43%,7.37MB/1.31MB,6,0B/1.9MB,0,16:48:20
f9fcb39e5f32,upbeat_visvesvaraya,0.00%,323.1MiB/1.907GiB,16.54%,7.37MB/1.32MB,7,0B/1.9MB,0,16:48:20
89e685729ccc,romantic_curie,0.00%,330.2MiB/1.907GiB,16.90%,7.38MB/1.31MB,8,0B/2.17MB,0,16:48:20
d45cb5a438d6,infallible_spence,0.00%,319.1MiB/1.907GiB,16.34%,7.35MB/1.31MB,9,0B/1.9MB,0,16:48:20
c673c571d4bb,nostalgic_lumiere,0.00%,324.8MiB/1.907GiB,16.63%,7.42MB/1.32MB,5,0B/1.11MB,0,16:49:59
4498cdeb5329,determined_kalam,0.00%,320.9MiB/1.907GiB,16.43%,7.37MB/1.31MB,6,0B/1.9MB,0,16:49:59
f9fcb39e5f32,upbeat_visvesvaraya,0.00%,323.1MiB/1.907GiB,16.54%,7.37MB/1.32MB,7,0B/1.9MB,0,16:49:59
89e685729ccc,romantic_curie,0.00%,330.2MiB/1.907GiB,16.90%,7.38MB/1.31MB,8,0B/2.17MB,0,16:49:59
d45cb5a438d6,infallible_spence,0.00%,319.1MiB/1.907GiB,16.34%,7.35MB/1.31MB,9,0B/1.9MB,0,16:49:59
