CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,BLOCKI/O,PIDS_JULIA,PIDS_DOCKER,TIMESTAMP
81cd3d8e5282,youthful_darwin,97.47%,199.1MiB/1.907GiB,10.19%,5.91MB/50.4kB,70,0B/0B,0,10:00:18
2a0efb9ed9b7,serene_thompson,99.69%,202.1MiB/1.907GiB,10.35%,5.92MB/64.4kB,71,0B/0B,0,10:00:18
81cd3d8e5282,youthful_darwin,66.72%,207.9MiB/1.907GiB,10.64%,9.06MB/81.8kB,70,0B/0B,0,10:00:28
2a0efb9ed9b7,serene_thompson,100.00%,209.4MiB/1.907GiB,10.72%,9.1MB/106kB,71,0B/0B,0,10:00:28
81cd3d8e5282,youthful_darwin,96.06%,226MiB/1.907GiB,11.57%,9.09MB/87.1kB,70,0B/0B,0,10:00:37
2a0efb9ed9b7,serene_thompson,99.59%,220.9MiB/1.907GiB,11.31%,9.1MB/107kB,71,0B/0B,0,10:00:37
81cd3d8e5282,youthful_darwin,100.03%,233.6MiB/1.907GiB,11.96%,9.09MB/89.3kB,70,0B/0B,0,10:00:46
2a0efb9ed9b7,serene_thompson,99.79%,247.1MiB/1.907GiB,12.65%,9.1MB/111kB,71,0B/98.3kB,0,10:00:46
