CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
a05523c43ec3,unruffled_zhukovsky,0.00%,170.7MiB/1.907GiB,8.74%,1.78MB/38.8kB,2,0B/0B,0,01:58:19
ce6d2e739248,gallant_hawking,100.33%,177.6MiB/1.907GiB,9.09%,4.15MB/46.1kB,3,0B/0B,0,01:58:19
3f77efbf3d3e,wizardly_swartz,102.50%,190.5MiB/1.907GiB,9.75%,5.42MB/73.9kB,4,0B/0B,0,01:58:19
0117bfe9a505,nostalgic_engelbart,72.43%,185.9MiB/1.907GiB,9.52%,5.44MB/80.4kB,5,0B/0B,0,01:58:19
5e276274f7b1,objective_bassi3,102.57%,204.3MiB/1.907GiB,10.46%,7.35MB/102kB,6,0B/0B,0,01:58:19
fc92aca87836,epic_golick,12.30%,195.7MiB/1.907GiB,10.02%,7.37MB/127kB,7,0B/0B,0,01:58:19
eb8c68b257cd,sharp_shtern,84.37%,218MiB/1.907GiB,11.16%,7.35MB/122kB,8,0B/0B,0,01:58:19
1d30566b7f94,priceless_aryabhata,100.71%,210.1MiB/1.907GiB,10.76%,7.33MB/92.2kB,9,0B/0B,0,01:58:19
a05523c43ec3,unruffled_zhukovsky,0.00%,218.3MiB/1.907GiB,11.18%,7.33MB/92.4kB,2,0B/1.06MB,0,01:59:30
ce6d2e739248,gallant_hawking,102.78%,217.6MiB/1.907GiB,11.14%,7.33MB/82.6kB,3,0B/1.08MB,0,01:59:30
3f77efbf3d3e,wizardly_swartz,103.06%,240.3MiB/1.907GiB,12.30%,7.33MB/117kB,4,0B/909kB,0,01:59:30
0117bfe9a505,nostalgic_engelbart,0.00%,223.1MiB/1.907GiB,11.42%,7.35MB/121kB,5,0B/2.17MB,0,01:59:30
5e276274f7b1,objective_bassi3,0.00%,235.4MiB/1.907GiB,12.05%,7.39MB/117kB,6,0B/2.17MB,0,01:59:30
fc92aca87836,epic_golick,0.00%,280MiB/1.907GiB,14.34%,7.38MB/147kB,7,0B/1.11MB,0,01:59:30
eb8c68b257cd,sharp_shtern,0.00%,340.7MiB/1.907GiB,17.45%,7.37MB/1.31MB,8,0B/2.17MB,0,01:59:30
1d30566b7f94,priceless_aryabhata,0.00%,327.9MiB/1.907GiB,16.79%,7.35MB/1.28MB,9,0B/1.11MB,0,01:59:30
ce6d2e739248,gallant_hawking,0.00%,322.5MiB/1.907GiB,16.51%,7.35MB/1.33MB,3,0B/2.17MB,0,02:00:58
3f77efbf3d3e,wizardly_swartz,0.00%,326.1MiB/1.907GiB,16.70%,7.35MB/1.31MB,4,0B/1.9MB,0,02:00:58
0117bfe9a505,nostalgic_engelbart,0.00%,323.8MiB/1.907GiB,16.58%,7.36MB/1.31MB,5,0B/2.17MB,0,02:00:58
5e276274f7b1,objective_bassi3,0.00%,331.5MiB/1.907GiB,16.97%,7.4MB/1.3MB,6,0B/2.17MB,0,02:00:58
fc92aca87836,epic_golick,0.00%,322.9MiB/1.907GiB,16.53%,7.39MB/1.32MB,7,0B/1.11MB,0,02:00:58
eb8c68b257cd,sharp_shtern,0.00%,340.7MiB/1.907GiB,17.44%,7.37MB/1.31MB,8,0B/2.17MB,0,02:00:58
1d30566b7f94,priceless_aryabhata,0.00%,327.9MiB/1.907GiB,16.79%,7.35MB/1.28MB,9,0B/1.11MB,0,02:00:58
5e276274f7b1,objective_bassi3,0.00%,331.5MiB/1.907GiB,16.97%,7.4MB/1.3MB,6,0B/2.17MB,0,02:02:13
fc92aca87836,epic_golick,0.00%,323MiB/1.907GiB,16.54%,7.39MB/1.32MB,7,0B/1.11MB,0,02:02:13
eb8c68b257cd,sharp_shtern,0.00%,340.7MiB/1.907GiB,17.45%,7.37MB/1.31MB,8,0B/2.17MB,0,02:02:13
1d30566b7f94,priceless_aryabhata,0.00%,327.9MiB/1.907GiB,16.79%,7.35MB/1.28MB,9,0B/1.11MB,0,02:02:13
