calculate_maxmin_seconds,clustering_time_seconds,elapsed_time_seconds,create_histogram_seconds,MAPE,MSE,R2,testing_model_seconds,train_global_model_seconds,local_training_seconds
8.03,4.41,97.59,1.9,0.0,0.0,0.0,5.2,6.35,24.84
0.99,0.0,0.0,0.0,395.3554844156125,0.08926930522251712,0.6602585412164639,0.0,1.02,16.42
0.43,0.0,0.0,0.0,1387.5866337776022,0.09204153456615193,-6.811989446788175,0.0,1.06,16.18
0.41,0.0,0.0,0.0,283.08617700635904,0.08611728325902979,0.6127367202030839,0.0,3.72,16.55
0.43,0.0,0.0,0.0,1691.6192516589786,0.0817330058116696,-6.212063066242037,0.0,1.1,14.93
0.4,0.0,0.0,0.0,320.9062372276564,0.09509451136403424,0.6684008205646772,0.0,3.57,16.94
0.41,0.0,0.0,0.0,1394.9618616989865,0.09150861765416468,-6.943438869668617,0.0,1.81,20.11
0.4,0.0,0.0,0.0,419.1624554755806,0.08554026933296505,0.6236978152787007,0.0,3.61,17.12
0.43,0.0,0.0,0.0,1229.1630082119354,0.08679375937558294,-6.378661448592958,0.0,1.02,15.14
