calculate_maxmin_seconds,clustering_time_seconds,elapsed_time_seconds,create_histogram_seconds,MAPE,MSE,R2,testing_model_seconds,train_global_model_seconds,local_training_seconds
9.34,4.38,107.15,2.61,0.0,0.0,0.0,5.03,7.84,28.98
1.92,0.0,0.0,0.0,2843.762821160308,0.20841200183708,-18.93504067922033,0.0,1.11,17.95
0.87,0.0,0.0,0.0,2936.7224064601237,0.20417929725098183,-19.225805741560688,0.0,5.12,21.85
0.42,0.0,0.0,0.0,1283.5980966155148,0.16647757835373256,0.4775924289694566,0.0,1.12,22.33
0.39,0.0,0.0,0.0,10313.257398671682,0.20718625872895952,-17.386236891770285,0.0,1.11,17.84
3.01,0.0,0.0,0.0,2978.8598262484606,0.20331315380091664,-18.282971363932997,0.0,4.7,21.99
2.96,0.0,0.0,0.0,2408.6731194018316,0.20848680436606365,-19.500810625191495,0.0,4.5,20.17
0.85,0.0,0.0,0.0,3143.9995201430515,0.17022581111827145,0.47418464900079293,0.0,4.5,21.07
2.76,0.0,0.0,0.0,3322.050465781375,0.20587666608822225,-17.194505588036378,0.0,1.13,23.39
