CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
f105a3fdc82d,flamboyant_swanson,93.02%,192.6MiB/1.907GiB,9.86%,5.7MB/83.6kB,2,0B/0B,0,10:14:05
5023da7ccbec,gracious_dijkstra,99.70%,210.6MiB/1.907GiB,10.78%,7.34MB/95.8kB,3,0B/0B,0,10:14:05
e9265220f385,nervous_almeida,0.00%,204.1MiB/1.907GiB,10.45%,7.33MB/106kB,4,0B/1.06MB,0,10:14:05
415d8e886c90,hungry_nobel,102.96%,217.6MiB/1.907GiB,11.14%,7.35MB/127kB,5,0B/1.08MB,0,10:14:05
00fd62d2da36,elegant_nightingale,100.05%,232.6MiB/1.907GiB,11.91%,7.34MB/133kB,6,0B/115kB,0,10:14:05
ce90c4bceab8,trusting_meitner,102.51%,233.3MiB/1.907GiB,11.94%,7.37MB/129kB,7,0B/1.97MB,0,10:14:05
e29bdec0adee,serene_euclid,100.78%,237.3MiB/1.907GiB,12.15%,7.33MB/123kB,8,0B/1.9MB,0,10:14:05
706d0f46bf82,determined_lichterman,0.00%,320.3MiB/1.907GiB,16.40%,7.35MB/1.29MB,9,0B/2.17MB,0,10:14:05
