calculate_maxmin_seconds,clustering_time_seconds,elapsed_time_seconds,create_histogram_seconds,MAPE,MSE,R2,testing_model_seconds,train_global_model_seconds,local_training_seconds
4.59,4.44,51.15,0.68,0.0,0.0,0.0,1.32,3.63,18.81
0.4,0.0,0.0,0.0,1067.399010970845,0.04591388823892315,-3.271193614728811,0.0,1.02,14.04
0.43,0.0,0.0,0.0,225.21072410482552,0.07816604139762842,0.5008277735756503,0.0,1.03,13.72
0.44,0.0,0.0,0.0,28035.62057336611,0.031735525388596836,-1.7992226362699162,0.0,1.04,13.72
0.43,0.0,0.0,0.0,811.2715763610613,0.04864357469064627,-3.5231325508346396,0.0,1.04,14.05
0.47,0.0,0.0,0.0,254.06726582107177,0.08286904169455264,0.550828337226509,0.0,1.03,13.59
0.44,0.0,0.0,0.0,1000.65788583563,0.04260711062456493,-2.906059536659882,0.0,1.04,13.85
0.43,0.0,0.0,0.0,1007.6080532407816,0.0349035044381528,-2.40712011705583,0.0,1.06,13.87
0.43,0.0,0.0,0.0,365.3361658808342,0.08334695660551938,0.5401027558309686,0.0,1.05,14.21
