CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
f557c7dbab60,stoic_aryabhata,0.00%,177.3MiB/1.907GiB,9.08%,4.15MB/52.1kB,2,0B/0B,0,00:31:23
0f77394d6b94,quizzical_visvesvaraya,103.41%,192.5MiB/1.907GiB,9.86%,5.53MB/63.2kB,3,0B/0B,0,00:31:23
de82483f7ae4,gallant_pike,101.91%,190.5MiB/1.907GiB,9.75%,7.3MB/90.3kB,4,0B/0B,0,00:31:23
48d23de79959,brave_elbakyan,42.24%,204.1MiB/1.907GiB,10.45%,7.35MB/105kB,5,0B/270kB,0,00:31:23
504b29af8784,determined_euclid,0.00%,210.5MiB/1.907GiB,10.78%,7.33MB/95.4kB,6,0B/1.59MB,0,00:31:23
3525374911a4,friendly_bell,99.32%,225MiB/1.907GiB,11.52%,7.35MB/130kB,7,0B/1.08MB,0,00:31:23
56b5eed1837c,thirsty_meninsky,100.10%,235.8MiB/1.907GiB,12.07%,7.34MB/130kB,8,0B/1.18MB,0,00:31:23
6ab5c533d094,sad_brattain3,31.38%,221.9MiB/1.907GiB,11.36%,7.35MB/116kB,9,0B/2.17MB,0,00:31:23
