CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
c67e7be1b2ec,zen_noyce,101.47%,144.3MiB/1.907GiB,7.39%,1.75MB/37.3kB,2,0B/0B,0,19:53:40
582955d73d85,elated_ride,100.06%,146MiB/1.907GiB,7.47%,1.75MB/32.7kB,3,0B/0B,0,19:53:40
a6a7924a803f,wonderful_boyd,0.00%,166.7MiB/1.907GiB,8.53%,1.79MB/37.6kB,4,0B/0B,0,19:53:40
3ad3b5d9b514,awesome_curie8,0.00%,160MiB/1.907GiB,8.19%,1.79MB/48kB,5,0B/0B,0,19:53:40
ba5a4b441e18,peaceful_archimedes,102.77%,174.3MiB/1.907GiB,8.92%,4.1MB/66kB,6,270kB/0B,0,19:53:40
468ad32bf16d,modest_saha4,100.08%,192.5MiB/1.907GiB,9.86%,5.77MB/67.3kB,7,0B/0B,0,19:53:40
a2aba76a5cff,angry_proskuriakova,0.00%,194.4MiB/1.907GiB,9.95%,6.01MB/89.9kB,8,0B/0B,0,19:53:40
2be41b8660d9,nostalgic_chebyshev,57.23%,205.2MiB/1.907GiB,10.51%,7.62MB/74.2kB,9,0B/0B,0,19:53:40
f06e4b0a5724,silly_sammet,34.00%,198MiB/1.907GiB,10.14%,7.65MB/97kB,10,0B/0B,0,19:53:40
30cdb531f12b,vigorous_kapitsa,102.45%,210.7MiB/1.907GiB,10.79%,7.67MB/103kB,11,16.4kB/0B,0,19:53:40
1e56289d12a1,focused_bose,87.07%,211.6MiB/1.907GiB,10.83%,7.67MB/93.9kB,12,0B/0B,0,19:53:40
4bdc7945ee66,optimistic_zhukovsky,0.00%,211.4MiB/1.907GiB,10.83%,7.7MB/115kB,13,0B/0B,0,19:53:40
bc71473a4bd1,affectionate_ritchie,83.31%,231.1MiB/1.907GiB,11.83%,7.69MB/114kB,14,0B/0B,0,19:53:40
591f37928452,wonderful_hopper,103.98%,223.7MiB/1.907GiB,11.45%,7.66MB/98.4kB,15,73.7kB/98.3kB,0,19:53:40
5ac5375dda2b,loving_shaw,0.00%,229.9MiB/1.907GiB,11.77%,7.7MB/140kB,16,0B/1.09MB,0,19:53:40
b407f8bd6749,wizardly_curran,0.00%,234MiB/1.907GiB,11.98%,7.71MB/128kB,17,0B/1.09MB,0,19:53:40
c67e7be1b2ec,zen_noyce,104.27%,783.3MiB/1.907GiB,40.11%,7.69MB/664kB,2,0B/5.25MB,0,19:55:47
582955d73d85,elated_ride,0.00%,812.5MiB/1.907GiB,41.60%,7.7MB/8.9MB,3,0B/5.25MB,0,19:55:47
a6a7924a803f,wonderful_boyd,0.00%,816.1MiB/1.907GiB,41.78%,7.69MB/8.97MB,4,0B/7.32MB,0,19:55:47
3ad3b5d9b514,awesome_curie8,0.00%,753MiB/1.907GiB,38.56%,7.72MB/9MB,5,0B/7.32MB,0,19:55:47
ba5a4b441e18,peaceful_archimedes,7.09%,553MiB/1.907GiB,28.31%,7.73MB/8.91MB,6,22.2MB/7.32MB,0,19:55:47
468ad32bf16d,modest_saha4,0.00%,804.6MiB/1.907GiB,41.20%,7.72MB/8.89MB,7,0B/5.25MB,0,19:55:47
a2aba76a5cff,angry_proskuriakova,0.00%,546.9MiB/1.907GiB,28.00%,7.7MB/8.88MB,8,41MB/5.25MB,0,19:55:47
2be41b8660d9,nostalgic_chebyshev,0.00%,819.8MiB/1.907GiB,41.97%,7.77MB/9.18MB,9,0B/4.21MB,0,19:55:47
f06e4b0a5724,silly_sammet,0.00%,553.7MiB/1.907GiB,28.35%,7.7MB/8.88MB,10,39.5MB/1.09MB,0,19:55:47
30cdb531f12b,vigorous_kapitsa,0.00%,807MiB/1.907GiB,41.32%,7.78MB/9.15MB,11,524kB/1.09MB,0,19:55:47
1e56289d12a1,focused_bose,0.00%,556.8MiB/1.907GiB,28.51%,7.71MB/8.88MB,12,38.4MB/1.02MB,0,19:55:47
