calculate_maxmin_seconds,clustering_time_seconds,elapsed_time_seconds,create_histogram_seconds,MAPE,MSE,R2,testing_model_seconds,train_global_model_seconds,local_training_seconds
7.2,4.65,123.25,3.5,0.0,0.0,0.0,6.63,7.45,35.75
2.92,0.0,0.0,0.0,1266.13074730491,0.5320023639500553,-3.0827457171153636,0.0,3.72,23.99
0.44,0.0,0.0,0.0,4901.633278067182,0.6814044733995234,-60.14968812071107,0.0,1.09,17.73
0.4,0.0,0.0,0.0,891.7085585342467,0.541558049034305,-3.225684264688142,0.0,3.51,22.88
0.42,0.0,0.0,0.0,5678.675893941481,0.6799082588557981,-59.33911731053507,0.0,1.1,16.53
0.56,0.0,0.0,0.0,1270.549005307952,0.5451714809325083,-3.1466096309037317,0.0,1.12,16.88
0.85,0.0,0.0,0.0,5050.006136465681,0.693709845674396,-60.52664256985475,0.0,1.13,18.43
1.34,0.0,0.0,0.0,3260.700901145031,0.5533673983023786,-3.239028577969876,0.0,2.61,23.0
0.41,0.0,0.0,0.0,7350.010241348049,0.6819957737360582,-59.99312832653821,0.0,1.84,29.83
