CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
3746e8286fba,wizardly_jang,104.02%,190.2MiB/1.907GiB,9.74%,3.65MB/51.5kB,2,0B/0B,0,08:00:35
1eb2103c93e8,jolly_mestorf9,0.00%,183.8MiB/1.907GiB,9.41%,4.25MB/72.6kB,3,0B/0B,0,08:00:35
fa161052438b,zealous_leavitt,103.41%,191.2MiB/1.907GiB,9.79%,5.9MB/55.6kB,4,0B/0B,0,08:00:35
b44bb40da30a,romantic_mirzakhani,0.00%,208.1MiB/1.907GiB,10.66%,5.89MB/88.2kB,5,0B/0B,0,08:00:35
8c3f81bcdfe9,loving_leakey,0.00%,203MiB/1.907GiB,10.39%,6.12MB/83.3kB,6,0B/0B,0,08:00:35
15fe85612e69,sharp_spence,81.76%,202.9MiB/1.907GiB,10.39%,7.75MB/89.7kB,7,0B/0B,0,08:00:35
1a8e3d997e72,festive_booth,8.14%,205.1MiB/1.907GiB,10.50%,7.77MB/88.2kB,8,0B/0B,0,08:00:35
96345b143c12,upbeat_nobel,82.77%,210.8MiB/1.907GiB,10.79%,7.78MB/93.8kB,9,0B/0B,0,08:00:35
3d91c08f72b2,vigilant_keller,91.37%,213.7MiB/1.907GiB,10.94%,7.78MB/88.6kB,10,0B/0B,0,08:00:35
fd4e2f39acb0,zealous_morse,102.38%,215.4MiB/1.907GiB,11.03%,7.77MB/89.3kB,11,0B/0B,0,08:00:35
795b4eb760b3,romantic_cori,102.52%,227.5MiB/1.907GiB,11.65%,7.76MB/83.1kB,12,0B/0B,0,08:00:35
d56441ee3f90,admiring_chatterjee,103.84%,241MiB/1.907GiB,12.34%,7.79MB/109kB,13,0B/98.3kB,0,08:00:35
eda116b5a9a6,boring_einstein,98.64%,228.8MiB/1.907GiB,11.71%,7.77MB/87.7kB,14,0B/229kB,0,08:00:35
a4fedad6f6bd,adoring_hopper,102.30%,244.8MiB/1.907GiB,12.53%,7.79MB/118kB,15,0B/32.8kB,0,08:00:35
ce1999a8de0e,goofy_swanson1,0.00%,229.1MiB/1.907GiB,11.73%,7.78MB/108kB,16,0B/1.02MB,0,08:00:35
aee8686ee3c2,festive_thompson,0.00%,229.3MiB/1.907GiB,11.74%,7.77MB/95.5kB,17,0B/1.09MB,0,08:00:35
3746e8286fba,wizardly_jang,0.00%,420.3MiB/1.907GiB,21.52%,7.83MB/2.35MB,2,0B/2.17MB,0,08:02:55
1eb2103c93e8,jolly_mestorf9,0.00%,410MiB/1.907GiB,20.99%,7.82MB/2.4MB,3,0B/2.24MB,0,08:02:55
fa161052438b,zealous_leavitt,0.00%,414.3MiB/1.907GiB,21.21%,7.83MB/2.33MB,4,0B/2.18MB,0,08:02:55
b44bb40da30a,romantic_mirzakhani,0.00%,417.2MiB/1.907GiB,21.36%,7.82MB/2.56MB,5,0B/2.76MB,0,08:02:55
8c3f81bcdfe9,loving_leakey,0.00%,404.4MiB/1.907GiB,20.70%,7.8MB/2.33MB,6,0B/1.91MB,0,08:02:55
15fe85612e69,sharp_spence,0.00%,404.3MiB/1.907GiB,20.70%,7.81MB/2.34MB,7,0B/2.17MB,0,08:02:55
1a8e3d997e72,festive_booth,0.00%,415.7MiB/1.907GiB,21.28%,7.8MB/2.33MB,8,0B/2.24MB,0,08:02:55
96345b143c12,upbeat_nobel,0.00%,403.7MiB/1.907GiB,20.67%,7.8MB/2.33MB,9,0B/2.17MB,0,08:02:55
3d91c08f72b2,vigilant_keller,0.00%,413.8MiB/1.907GiB,21.19%,7.81MB/2.33MB,10,0B/1.09MB,0,08:02:55
fd4e2f39acb0,zealous_morse,0.00%,399.9MiB/1.907GiB,20.47%,7.8MB/2.38MB,11,81.9kB/1.09MB,0,08:02:55
795b4eb760b3,romantic_cori,0.00%,400.6MiB/1.907GiB,20.51%,7.8MB/2.33MB,12,0B/1.02MB,0,08:02:55
d56441ee3f90,admiring_chatterjee,0.00%,414MiB/1.907GiB,21.19%,7.85MB/2.4MB,13,0B/1.12MB,0,08:02:55
eda116b5a9a6,boring_einstein,0.00%,390.7MiB/1.907GiB,20.00%,7.79MB/2.32MB,14,0B/1.02MB,0,08:02:55
a4fedad6f6bd,adoring_hopper,0.00%,390.8MiB/1.907GiB,20.01%,7.82MB/2.36MB,15,0B/1.02MB,0,08:02:55
