CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,BLOCKI/O,PIDS_JULIA,PIDS_DOCKER,TIMESTAMP
8532eef8713c,festive_kowalevski0,94.54%,188.2MiB/1.907GiB,9.64%,5.91MB/51.1kB,54,0B/0B,0,09:53:43
9b9e0be24536,flamboyant_lumiere,100.23%,193.8MiB/1.907GiB,9.92%,5.9MB/45kB,55,0B/0B,0,09:53:43
8532eef8713c,festive_kowalevski0,85.59%,196.1MiB/1.907GiB,10.04%,9.06MB/91.6kB,54,0B/0B,0,09:53:53
9b9e0be24536,flamboyant_lumiere,100.13%,201MiB/1.907GiB,10.29%,9.08MB/85.5kB,55,0B/0B,0,09:53:53
8532eef8713c,festive_kowalevski0,100.47%,211.6MiB/1.907GiB,10.84%,9.09MB/96.9kB,54,0B/0B,0,09:54:02
9b9e0be24536,flamboyant_lumiere,99.83%,213MiB/1.907GiB,10.90%,9.08MB/87.1kB,55,0B/0B,0,09:54:02
8532eef8713c,festive_kowalevski0,100.16%,220.4MiB/1.907GiB,11.28%,9.09MB/99kB,54,0B/0B,0,09:54:11
9b9e0be24536,flamboyant_lumiere,99.92%,238.5MiB/1.907GiB,12.21%,9.08MB/90.2kB,55,0B/49.2kB,0,09:54:11
8532eef8713c,festive_kowalevski0,99.66%,226.6MiB/1.907GiB,11.60%,9.09MB/103kB,54,0B/262kB,0,09:54:20
9b9e0be24536,flamboyant_lumiere,100.34%,247.1MiB/1.907GiB,12.65%,9.08MB/93.6kB,55,0B/262kB,0,09:54:20
