CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
777f14c5222d,mystifying_yalow,0.00%,158.1MiB/1.907GiB,8.09%,1.78MB/34.8kB,2,0B/0B,0,18:41:07
518b72deafdc,flamboyant_chebyshev2,0.00%,158.5MiB/1.907GiB,8.12%,1.79MB/46.3kB,3,0B/0B,0,18:41:07
950ed1f7eb9b,romantic_curie,0.00%,127.6MiB/1.907GiB,6.53%,12.6kB/7.59kB,4,0B/0B,0,18:41:07
235564f741f6,awesome_zhukovsky,103.96%,149.7MiB/1.907GiB,7.66%,1.73MB/24.3kB,5,0B/0B,0,18:41:07
c7e920a759ef,silly_joliot,0.00%,160.2MiB/1.907GiB,8.20%,1.78MB/32kB,6,0B/0B,0,18:41:07
a330e5181c1b,wonderful_pike,0.00%,156.5MiB/1.907GiB,8.01%,1.82MB/43kB,7,0B/0B,0,18:41:07
6e3ef22e9023,mystifying_villani,97.58%,180.2MiB/1.907GiB,9.23%,4.15MB/61.6kB,8,0B/0B,0,18:41:07
94f84535e9d7,distracted_torvalds,0.00%,151.8MiB/1.907GiB,7.77%,1.78MB/44.3kB,9,0B/0B,0,18:41:07
777f14c5222d,mystifying_yalow,0.00%,181.9MiB/1.907GiB,9.31%,4.14MB/51.7kB,2,0B/0B,0,18:42:19
518b72deafdc,flamboyant_chebyshev2,0.00%,180.6MiB/1.907GiB,9.25%,4.16MB/64.2kB,3,0B/0B,0,18:42:19
950ed1f7eb9b,romantic_curie,99.49%,191.7MiB/1.907GiB,9.81%,5.46MB/70.9kB,4,0B/0B,0,18:42:19
235564f741f6,awesome_zhukovsky,0.00%,193MiB/1.907GiB,9.88%,5.66MB/71.7kB,5,0B/0B,0,18:42:19
c7e920a759ef,silly_joliot,96.44%,204.3MiB/1.907GiB,10.46%,7.32MB/121kB,6,0B/0B,0,18:42:19
a330e5181c1b,wonderful_pike,0.00%,204.4MiB/1.907GiB,10.47%,7.36MB/119kB,7,0B/1.06MB,0,18:42:19
6e3ef22e9023,mystifying_villani,102.74%,221MiB/1.907GiB,11.32%,7.33MB/99.8kB,8,0B/1.08MB,0,18:42:19
94f84535e9d7,distracted_torvalds,100.44%,232.2MiB/1.907GiB,11.89%,7.33MB/122kB,9,0B/1.18MB,0,18:42:19
777f14c5222d,mystifying_yalow,0.00%,280.6MiB/1.907GiB,14.37%,7.33MB/135kB,2,0B/2.17MB,0,18:43:49
518b72deafdc,flamboyant_chebyshev2,0.00%,325.3MiB/1.907GiB,16.66%,7.36MB/1.31MB,3,0B/1.11MB,0,18:43:49
950ed1f7eb9b,romantic_curie,0.00%,329.4MiB/1.907GiB,16.87%,7.4MB/1.32MB,4,0B/2.17MB,0,18:43:49
235564f741f6,awesome_zhukovsky,0.00%,320.1MiB/1.907GiB,16.39%,7.35MB/1.3MB,5,0B/2.17MB,0,18:43:49
c7e920a759ef,silly_joliot,0.00%,326.8MiB/1.907GiB,16.73%,7.35MB/1.34MB,6,0B/2.17MB,0,18:43:49
a330e5181c1b,wonderful_pike,0.02%,320.6MiB/1.907GiB,16.42%,7.39MB/1.39MB,7,0B/2.17MB,0,18:43:49
6e3ef22e9023,mystifying_villani,0.00%,322.1MiB/1.907GiB,16.49%,7.37MB/1.31MB,8,0B/2.17MB,0,18:43:49
94f84535e9d7,distracted_torvalds,0.00%,322.2MiB/1.907GiB,16.50%,7.34MB/1.31MB,9,0B/2.17MB,0,18:43:49
94f84535e9d7,distracted_torvalds,13.92%,16.52MiB/1.907GiB,0.85%,7.34MB/1.31MB,9,0B/2.17MB,0,18:45:51
