calculate_maxmin_seconds,clustering_time_seconds,elapsed_time_seconds,create_histogram_seconds,MAPE,MSE,R2,testing_model_seconds,train_global_model_seconds,local_training_seconds
158.03,4.66,423.47,1.89,0.0,0.0,0.0,19.06,22.77,103.85
1.22,0.0,0.0,0.0,1125.3276204199287,0.6176393385731416,-4.025959027558493,0.0,2.05,27.48
0.59,0.0,0.0,0.0,5309.116560891187,0.7767664038860121,-66.56328496034378,0.0,1.5,19.99
0.9,0.0,0.0,0.0,1064.6452115044444,0.5881587514661901,-3.907799500225911,0.0,1.98,17.36
0.58,0.0,0.0,0.0,5505.812747422317,0.7596901520087749,-64.85365811677173,0.0,1.35,19.18
0.6,0.0,0.0,0.0,1576.0039799525823,0.5953194881729085,-3.961728537938297,0.0,1.53,16.63
0.59,0.0,0.0,0.0,5154.251839747334,0.7725515746202045,-67.93893052410341,0.0,1.25,16.42
0.52,0.0,0.0,0.0,1197.2109487263388,0.6247520192296643,-4.092065536405062,0.0,7.42,85.1
0.63,0.0,0.0,0.0,7286.554095469915,0.7768673339596375,-69.3014809663259,0.0,1.3,17.2
5.64,0.0,0.0,0.0,1016.6093852124148,0.6146726469316923,-4.130271519146087,0.0,8.97,70.62
0.42,0.0,0.0,0.0,5226.991999404988,0.7841819900554097,-67.73201644259856,0.0,1.96,27.13
0.42,0.0,0.0,0.0,1016.0136763032846,0.6256720937009262,-4.087323648328123,0.0,14.24,35.98
0.42,0.0,0.0,0.0,6971.092364874688,0.7645855078967608,-66.84718823260772,0.0,3.51,67.45
0.41,0.0,0.0,0.0,1301.542123037793,0.5985415678936524,-3.9197741433442506,0.0,5.33,30.35
0.46,0.0,0.0,0.0,6642.808726266787,0.7769281335942575,-66.80966989216337,0.0,1.32,17.03
0.42,0.0,0.0,0.0,6374.170677563763,0.5941503074974497,-3.854259610768498,0.0,1.33,73.36
1.2,0.0,0.0,0.0,4372.810810693397,0.7586143249256985,-67.04672081101052,0.0,1.24,19.56
