calculate_maxmin_seconds,clustering_time_seconds,elapsed_time_seconds,create_histogram_seconds,MAPE,MSE,R2,testing_model_seconds,train_global_model_seconds,local_training_seconds
4.6,4.55,53.6,0.68,0.0,0.0,0.0,1.28,3.68,19.15
0.43,0.0,0.0,0.0,1147.135412827516,0.0429348922949566,-3.3828807325460017,0.0,1.05,14.23
0.41,0.0,0.0,0.0,420.7201315185074,0.08055536313178752,0.5194941911459392,0.0,1.05,14.64
0.43,0.0,0.0,0.0,656.553499800738,0.029677700014915813,-1.3506709975657163,0.0,1.04,14.3
0.43,0.0,0.0,0.0,910.7356580733444,0.045048172682593104,-3.0273610371652975,0.0,1.04,13.53
0.43,0.0,0.0,0.0,391.75193750714345,0.08134516231651764,0.4974111020669496,0.0,1.04,13.6
0.4,0.0,0.0,0.0,1658.472399943162,0.04117614431983333,-2.356108742122899,0.0,1.05,13.39
0.43,0.0,0.0,0.0,1093.760216582062,0.030309934313021564,-2.2388291605840926,0.0,1.09,14.49
0.43,0.0,0.0,0.0,265.90308735509785,0.074941737012528,0.5430236306053972,0.0,1.05,13.44
